"Target","Evidence"
"AGO2","experimental (all) + predicted (intersection) + predicted (union)"
"AGO3","predicted (intersection) + predicted (union)"
"AGO4","predicted (intersection) + predicted (union)"
"AGPAT3","predicted (intersection) + predicted (union)"
"AGPAT4","predicted (intersection) + predicted (union)"
"AGRN","predicted (union)"
"AGTPBP1","predicted (intersection) + predicted (union)"
"AGTR2","predicted (union)"
"AGTRAP","predicted (intersection) + predicted (union)"
"AGXT","predicted (union)"
"AGXT2","predicted (intersection) + predicted (union)"
"AHCTF1","predicted (intersection) + predicted (union)"
"AHCY","predicted (intersection) + predicted (union)"
"AHCYL2","experimental (all) + predicted (intersection) + predicted (union)"
"AHI1","predicted (union)"
"AHNAK","predicted (union)"
"AHR","experimental (all) + predicted (intersection) + predicted (union)"
"AHRR","predicted (union)"
"AIDA","predicted (union)"
"AIF1L","predicted (intersection) + predicted (union)"
"AIFM1","predicted (intersection) + predicted (union)"
"AIFM3","predicted (union)"
"AIG1","predicted (union)"
"AIMP1","predicted (union)"
"AIPL1","predicted (union)"
"AJAP1","predicted (intersection) + predicted (union)"
"AJUBA","predicted (union)"
"AK2","predicted (union)"
"AK3","predicted (intersection) + predicted (union)"
"AK4","experimental (all)"
"AKAP1","predicted (union)"
"AKAP10","predicted (union)"
"AKAP11","predicted (union)"
"AKAP12","predicted (intersection) + predicted (union)"
"AKAP13","predicted (union)"
"AKAP5","predicted (intersection) + predicted (union)"
"AKAP6","predicted (intersection) + predicted (union)"
"AKAP8","experimental (all) + predicted (intersection) + predicted (union)"
"AKIP1","predicted (union)"
"AKNA","predicted (intersection) + predicted (union)"
"AKR1B1","predicted (union)"
"AKR1B10","predicted (intersection) + predicted (union)"
"AKR1C1","predicted (union)"
"AKR7A2","predicted (intersection) + predicted (union)"
"AKT2","predicted (intersection) + predicted (union)"
"ALCAM","predicted (union)"
"ALDH1A3","predicted (union)"
"ALDH1L2","predicted (intersection) + predicted (union)"
"ALDH2","predicted (union)"
"ALDH3A2","predicted (union)"
"ALDH6A1","predicted (intersection) + predicted (union)"
"ALDH7A1","predicted (intersection) + predicted (union)"
"ALG1","predicted (union)"
"ALG10B","predicted (intersection) + predicted (union)"
"ALG11","predicted (union)"
"ALG12","predicted (union)"
"ALG13","experimental (all) + predicted (union)"
"ALG14","predicted (intersection) + predicted (union)"
"ALG2","predicted (union)"
"ALG6","predicted (union)"
"ALG8","predicted (union)"
"ALG9","predicted (intersection) + predicted (union)"
"ALKBH1","predicted (intersection) + predicted (union)"
"ALKBH4","predicted (union)"
"ALKBH8","predicted (union)"
"ALPK3","predicted (intersection) + predicted (union)"
"ALPL","predicted (intersection) + predicted (union)"
"ALS2","predicted (union)"
"ALS2CL","predicted (union)"
"ALX1","predicted (union)"
"ALX4","predicted (union)"
"AMACR","predicted (intersection) + predicted (union)"
"AMD1","experimental (all) + predicted (intersection) + predicted (union)"
"AMDHD2","predicted (union)"
"AMER2","predicted (intersection) + predicted (union)"
"AMER3","predicted (intersection) + predicted (union)"
"AMIGO1","predicted (intersection) + predicted (union)"
"AMMECR1L","predicted (intersection) + predicted (union)"
"AMN","predicted (union)"
"AMOT","predicted (intersection) + predicted (union)"
"AMPD2","experimental (all)"
"AMT","predicted (intersection) + predicted (union)"
"ANAPC13","predicted (intersection) + predicted (union)"
"ANAPC15","predicted (union)"
"ANAPC16","predicted (union)"
"ANG","predicted (intersection) + predicted (union)"
"ANGEL1","predicted (intersection) + predicted (union)"
"ANGEL2","predicted (union)"
"ANGPT4","predicted (intersection) + predicted (union)"
"ANGPTL2","predicted (intersection) + predicted (union)"
"ANGPTL3","predicted (intersection) + predicted (union)"
"ANK1","predicted (intersection) + predicted (union)"
"ANKEF1","predicted (union)"
"ANKFY1","predicted (intersection) + predicted (union)"
"ANKH","predicted (union)"
"ANKHD1-EIF4EBP3","predicted (union)"
"ANKMY1","predicted (intersection) + predicted (union)"
"ANKMY2","predicted (union)"
"ANKRA2","predicted (intersection) + predicted (union)"
"ANKRD12","predicted (union)"
"ANKRD13C","predicted (union)"
"ANKRD16","predicted (union)"
"ANKRD28","predicted (intersection) + predicted (union)"
"ANKRD33B","predicted (intersection) + predicted (union)"
"ANKRD39","predicted (union)"
"ANKRD40","experimental (all) + predicted (union)"
"ANKRD42","predicted (union)"
"ANKRD44","predicted (union)"
"ANKRD45","predicted (intersection) + predicted (union)"
"ANKRD46","experimental (all) + predicted (intersection) + predicted (union)"
"ANKRD49","predicted (intersection) + predicted (union)"
"ANKRD52","predicted (intersection) + predicted (union)"
"ANKRD53","predicted (intersection) + predicted (union)"
"ANKRD6","predicted (intersection) + predicted (union)"
"ANKRD63","predicted (union)"
"ANKS3","predicted (union)"
"ANKS4B","predicted (intersection) + predicted (union)"
"ANO3","predicted (union)"
"ANO5","predicted (union)"
"ANO6","predicted (intersection) + predicted (union)"
"ANO7","predicted (intersection) + predicted (union)"
"ANOS1","predicted (intersection) + predicted (union)"
"ANP32E","predicted (intersection) + predicted (union)"
"ANTXR1","predicted (intersection) + predicted (union)"
"ANTXR2","predicted (union)"
"ANXA11","predicted (union)"
"ANXA6","predicted (union)"
"ANXA7","predicted (union)"
"ANXA9","predicted (union)"
"AOPEP","predicted (union)"
"AOX1","predicted (union)"
"AP1AR","predicted (union)"
"AP1S1","experimental (all) + predicted (intersection) + predicted (union)"
"AP1S3","predicted (union)"
"AP2S1","predicted (union)"
"AP3B1","predicted (union)"
"AP3M1","predicted (union)"
"AP3S2","predicted (intersection) + predicted (union)"
"AP4E1","predicted (intersection) + predicted (union)"
"AP4S1","predicted (intersection) + predicted (union)"
"AP5B1","predicted (union)"
"AP5M1","predicted (intersection) + predicted (union)"
"AP5S1","predicted (intersection) + predicted (union)"
"APAF1","predicted (intersection) + predicted (union)"
"APBA1","predicted (intersection) + predicted (union)"
"APBA2","predicted (union)"
"APBB2","predicted (intersection) + predicted (union)"
"APBB3","predicted (intersection) + predicted (union)"
"APC2","predicted (intersection) + predicted (union)"
"APEX2","predicted (intersection) + predicted (union)"
"APH1A","predicted (intersection) + predicted (union)"
"APH1B","predicted (union)"
"API5","predicted (intersection) + predicted (union)"
"APLN","predicted (union)"
"APLNR","predicted (intersection) + predicted (union)"
"APOBEC1","predicted (union)"
"APOBEC3C","predicted (union)"
"APOBEC3D","predicted (union)"
"APOBEC3F","predicted (intersection) + predicted (union)"
"APOC3","predicted (union)"
"APOE","predicted (union)"
"APOL1","predicted (union)"
"APOL6","predicted (intersection) + predicted (union)"
"APOLD1","predicted (union)"
"APOOL","predicted (intersection) + predicted (union)"
"APP","predicted (union)"
"APPBP2","predicted (intersection) + predicted (union)"
"APPL1","experimental (all) + predicted (union)"
"APPL2","predicted (intersection) + predicted (union)"
"AQP11","predicted (union)"
"AQP2","predicted (intersection) + predicted (union)"
"AQP4","predicted (union)"
"AQP6","experimental (all) + predicted (intersection) + predicted (union)"
"AQP7","predicted (union)"
"AQP9","predicted (union)"
"AQR","predicted (union)"
"AR","predicted (intersection) + predicted (union)"
"ARAP2","predicted (union)"
"ARC","predicted (union)"
"ARCN1","experimental (all)"
"AREL1","experimental (all) + predicted (union)"
"ARF3","predicted (union)"
"ARFGEF2","predicted (intersection) + predicted (union)"
"ARFGEF3","predicted (intersection) + predicted (union)"
"ARG2","predicted (intersection) + predicted (union)"
"ARGFX","predicted (intersection) + predicted (union)"
"ARHGAP1","predicted (union)"
"ARHGAP10","predicted (union)"
"ARHGAP11A","predicted (union)"
"ARHGAP12","predicted (union)"
"ARHGAP18","predicted (intersection) + predicted (union)"
"ARHGAP19","experimental (all) + predicted (intersection) + predicted (union)"
"ARHGAP20","predicted (intersection) + predicted (union)"
"ARHGAP22","predicted (union)"
"ARHGAP28","predicted (intersection) + predicted (union)"
"ARHGAP29","predicted (intersection) + predicted (union)"
"ARHGAP30","predicted (union)"
"ARHGAP31","predicted (union)"
"ARHGAP32","predicted (union)"
"ARHGAP44","predicted (union)"
"ARHGAP8","predicted (intersection) + predicted (union)"
"ARHGDIA","predicted (union)"
"ARHGDIG","predicted (intersection) + predicted (union)"
"ARHGEF12","predicted (union)"
"ARHGEF15","predicted (intersection) + predicted (union)"
"ARHGEF26","predicted (union)"
"ARHGEF3","predicted (union)"
"ARHGEF38","predicted (intersection) + predicted (union)"
"ARHGEF39","predicted (union)"
"ARHGEF7","predicted (intersection) + predicted (union)"
"ARHGEF9","predicted (union)"
"ARID1A","experimental (all)"
"ARID2","predicted (union)"
"ARID3A","experimental (strong) + experimental (all) + predicted (intersection) + predicted (union)"
"ARID3B","experimental (all) + predicted (intersection) + predicted (union)"
"ARID5B","predicted (intersection) + predicted (union)"
"ARIH1","experimental (all) + predicted (intersection) + predicted (union)"
"ARL10","predicted (union)"
"ARL17A","predicted (union)"
"ARL17B","predicted (union)"
"ARL2BP","predicted (union)"
"ARL4A","predicted (union)"
"ARL4D","predicted (intersection) + predicted (union)"
"ARL5A","predicted (intersection) + predicted (union)"
"ARL5B","predicted (union)"
"ARL5C","predicted (intersection) + predicted (union)"
"ARL6IP6","predicted (intersection) + predicted (union)"
"ARL8A","predicted (union)"
"ARL8B","experimental (all)"
"ARMC10","predicted (intersection) + predicted (union)"
"ARMC5","predicted (union)"
"ARMC8","predicted (intersection) + predicted (union)"
"ARMH3","predicted (union)"
