"Target","Evidence"
"A1CF","predicted (intersection) + predicted (union)"
"AAGAB","predicted (intersection) + predicted (union)"
"AAK1","predicted (union)"
"AAMDC","predicted (union)"
"AASDH","predicted (union)"
"ABCA1","predicted (intersection) + predicted (union)"
"ABCA5","predicted (intersection) + predicted (union)"
"ABCA6","predicted (union)"
"ABCA9","predicted (union)"
"ABCB10","predicted (intersection) + predicted (union)"
"ABCB11","predicted (union)"
"ABCC5","predicted (intersection) + predicted (union)"
"ABCC9","experimental (all)"
"ABCF1","predicted (union)"
"ABCG2","experimental (strong) + experimental (all) + predicted (union)"
"ABHD10","predicted (union)"
"ABHD11","predicted (intersection) + predicted (union)"
"ABHD12","predicted (union)"
"ABHD13","predicted (intersection) + predicted (union)"
"ABHD14A-ACY1","predicted (union)"
"ABHD16B","predicted (union)"
"ABHD2","predicted (union)"
"ABHD5","predicted (union)"
"ABL2","predicted (intersection) + predicted (union)"
"ABLIM3","predicted (union)"
"ABRACL","predicted (intersection) + predicted (union)"
"ABRAXAS1","predicted (intersection) + predicted (union)"
"ACAA2","predicted (union)"
"ACACA","experimental (all)"
"ACAD8","predicted (intersection) + predicted (union)"
"ACADL","predicted (union)"
"ACAP2","predicted (intersection) + predicted (union)"
"ACBD3","experimental (all) + predicted (union)"
"ACBD5","experimental (all) + predicted (union)"
"ACBD7","predicted (union)"
"ACER2","predicted (intersection) + predicted (union)"
"ACER3","predicted (union)"
"ACHE","predicted (union)"
"ACO1","predicted (union)"
"ACOT13","predicted (union)"
"ACOT2","predicted (intersection) + predicted (union)"
"ACOX1","predicted (intersection) + predicted (union)"
"ACP1","predicted (union)"
"ACP7","predicted (intersection) + predicted (union)"
"ACPP","predicted (union)"
"ACRV1","predicted (union)"
"ACSF3","predicted (intersection) + predicted (union)"
"ACSL1","experimental (all)"
"ACSL4","experimental (all) + predicted (intersection) + predicted (union)"
"ACSL6","predicted (union)"
"ACSM2B","predicted (union)"
"ACTC1","predicted (union)"
"ACTR3B","predicted (union)"
"ACTR6","predicted (union)"
"ACTR8","predicted (union)"
"ACTRT3","predicted (intersection) + predicted (union)"
"ACVR1","predicted (union)"
"ACVR1C","predicted (intersection) + predicted (union)"
"ACVR2A","predicted (intersection) + predicted (union)"
"ACY1","predicted (union)"
"ADAM10","predicted (union)"
"ADAM12","predicted (intersection) + predicted (union)"
"ADAM17","predicted (intersection) + predicted (union)"
"ADAM2","predicted (union)"
"ADAM22","predicted (intersection) + predicted (union)"
"ADAM23","predicted (union)"
"ADAM28","predicted (union)"
"ADAM33","predicted (union)"
"ADAM9","predicted (intersection) + predicted (union)"
"ADAMTS3","predicted (intersection) + predicted (union)"
"ADAMTS4","predicted (union)"
"ADAMTS5","predicted (intersection) + predicted (union)"
"ADAMTS7","predicted (union)"
"ADAMTSL3","predicted (union)"
"ADARB1","predicted (union)"
"ADAT1","predicted (intersection) + predicted (union)"
"ADAT2","predicted (union)"
"ADCK1","predicted (union)"
"ADCY1","predicted (union)"
"ADCY2","predicted (union)"
"ADCY9","predicted (intersection) + predicted (union)"
"ADGRE2","predicted (intersection) + predicted (union)"
"ADGRG2","predicted (union)"
"ADGRL2","predicted (intersection) + predicted (union)"
"ADGRL3","predicted (intersection) + predicted (union)"
"ADH1B","predicted (intersection) + predicted (union)"
"ADH5","predicted (intersection) + predicted (union)"
"ADIPOR2","predicted (union)"
"ADK","predicted (union)"
"ADO","predicted (union)"
"ADORA1","predicted (union)"
"ADORA3","predicted (union)"
"ADPRHL1","experimental (all)"
"ADRA1A","predicted (intersection) + predicted (union)"
"ADRA1D","predicted (union)"
"ADRA2C","predicted (intersection) + predicted (union)"
"ADRB1","predicted (intersection) + predicted (union)"
"ADSS","predicted (union)"
"AEN","predicted (intersection) + predicted (union)"
"AFAP1L1","predicted (union)"
"AFF1","experimental (all) + predicted (intersection) + predicted (union)"
"AFF2","predicted (intersection) + predicted (union)"
"AFF3","predicted (intersection) + predicted (union)"
"AFF4","experimental (all) + predicted (intersection) + predicted (union)"
"AGAP2","predicted (union)"
"AGBL2","experimental (all)"
"AGBL5","predicted (intersection) + predicted (union)"
"AGFG1","predicted (intersection) + predicted (union)"
"AGGF1","predicted (intersection) + predicted (union)"
"AGMAT","predicted (union)"
"AGO2","predicted (intersection) + predicted (union)"
"AGO3","predicted (intersection) + predicted (union)"
"AGO4","predicted (union)"
"AGPAT5","predicted (union)"
"AGPS","predicted (union)"
"AGR2","predicted (union)"
"AGTPBP1","predicted (union)"
"AGTR2","experimental (all)"
"AGTRAP","predicted (union)"
"AGXT","predicted (union)"
"AHCTF1","predicted (union)"
"AHCYL2","predicted (intersection) + predicted (union)"
"AHI1","predicted (union)"
"AHR","predicted (union)"
"AIDA","predicted (union)"
"AIF1L","predicted (union)"
"AIMP1","predicted (union)"
"AJAP1","predicted (intersection) + predicted (union)"
"AK2","predicted (union)"
"AK3","predicted (union)"
"AK4","experimental (all)"
"AK5","predicted (union)"
"AK9","predicted (intersection) + predicted (union)"
"AKAP1","predicted (union)"
"AKAP10","predicted (union)"
"AKAP11","predicted (union)"
"AKAP2","predicted (union)"
"AKAP5","predicted (union)"
"AKAP6","predicted (intersection) + predicted (union)"
"AKIP1","predicted (intersection) + predicted (union)"
"AKIRIN2","experimental (all) + predicted (union)"
"AKR1B10","experimental (all)"
"AKR1C1","predicted (union)"
"AKR7A2","predicted (intersection) + predicted (union)"
"AKT1S1","experimental (all)"
"AKTIP","predicted (intersection) + predicted (union)"
"ALAD","experimental (all)"
"ALCAM","predicted (union)"
"ALDH1A1","predicted (union)"
"ALDH1A2","predicted (intersection) + predicted (union)"
"ALDH1L2","predicted (union)"
"ALDH4A1","predicted (union)"
"ALDH7A1","predicted (union)"
"ALDH9A1","predicted (union)"
"ALG1","predicted (intersection) + predicted (union)"
"ALG12","predicted (intersection) + predicted (union)"
"ALG2","predicted (union)"
"ALOX12-AS1","predicted (union)"
"ALPK3","predicted (intersection) + predicted (union)"
"ALX1","predicted (union)"
"ALX3","predicted (union)"
"ALX4","predicted (intersection) + predicted (union)"
"AMACR","predicted (union)"
"AMBN","predicted (union)"
"AMD1","predicted (union)"
"AMER2","predicted (intersection) + predicted (union)"
"AMFR","predicted (intersection) + predicted (union)"
"AMIGO2","predicted (union)"
"AMMECR1","predicted (union)"
"AMMECR1L","predicted (union)"
"AMN1","predicted (union)"
"AMZ1","predicted (union)"
"ANAPC13","predicted (union)"
"ANAPC16","predicted (union)"
"ANAPC7","predicted (union)"
"ANGEL1","predicted (union)"
"ANGPT2","predicted (union)"
"ANGPTL2","predicted (union)"
"ANGPTL3","predicted (union)"
"ANK2","predicted (union)"
"ANK3","predicted (intersection) + predicted (union)"
"ANKDD1A","predicted (union)"
"ANKEF1","predicted (union)"
"ANKFY1","predicted (union)"
"ANKH","predicted (union)"
"ANKHD1","predicted (union)"
"ANKIB1","predicted (union)"
"ANKMY1","predicted (union)"
"ANKRD1","predicted (union)"
"ANKRD11","predicted (intersection) + predicted (union)"
"ANKRD12","predicted (intersection) + predicted (union)"
"ANKRD13C","predicted (union)"
"ANKRD17","predicted (union)"
"ANKRD20A2","predicted (union)"
"ANKRD20A4","predicted (union)"
"ANKRD22","predicted (union)"
"ANKRD28","predicted (union)"
"ANKRD29","predicted (union)"
"ANKRD33B","predicted (intersection) + predicted (union)"
"ANKRD34C","predicted (union)"
"ANKRD40","predicted (intersection) + predicted (union)"
"ANKRD42","predicted (intersection) + predicted (union)"
"ANKRD44","predicted (intersection) + predicted (union)"
"ANKRD45","predicted (intersection) + predicted (union)"
"ANKRD46","predicted (intersection) + predicted (union)"
"ANKRD50","predicted (union)"
"ANKS1A","predicted (intersection) + predicted (union)"
"ANKS1B","predicted (intersection) + predicted (union)"
"ANLN","predicted (union)"
"ANO10","predicted (intersection) + predicted (union)"
"ANO6","predicted (union)"
"ANO7","predicted (intersection) + predicted (union)"
"ANTXR1","predicted (union)"
"ANTXR2","predicted (union)"
"ANXA11","predicted (union)"
"ANXA4","predicted (intersection) + predicted (union)"
"AOC3","predicted (union)"
"AP1S3","predicted (union)"
"AP3B1","predicted (union)"
"AP3M1","predicted (intersection) + predicted (union)"
"AP3S2","predicted (union)"
"AP4S1","predicted (intersection) + predicted (union)"
"AP5B1","predicted (union)"
"AP5M1","predicted (intersection) + predicted (union)"
"APBA1","predicted (intersection) + predicted (union)"
"APBB2","predicted (union)"
"APC","experimental (strong) + experimental (all)"
"APCDD1L","predicted (union)"
"APH1A","predicted (union)"
"API5","predicted (union)"
"APIP","predicted (union)"
