"Target","Evidence"
"AAK1","predicted (union)"
"AASDH","predicted (union)"
"ABCA2","predicted (union)"
"ABCC5","predicted (union)"
"ABCF3","predicted (union)"
"ABCG2","predicted (union)"
"ABHD17A","predicted (intersection) + predicted (union)"
"ABHD17B","predicted (union)"
"ABHD2","predicted (union)"
"ABLIM2","predicted (union)"
"ACAA2","predicted (union)"
"ACAD10","predicted (union)"
"ACAP2","predicted (union)"
"ACKR3","predicted (union)"
"ACO1","predicted (intersection) + predicted (union)"
"ACOT11","predicted (intersection) + predicted (union)"
"ACOT9","predicted (union)"
"ACSBG1","predicted (union)"
"ACSF3","predicted (union)"
"ACVR2B","predicted (intersection) + predicted (union)"
"ADAM11","predicted (union)"
"ADAM19","predicted (union)"
"ADAMTS5","predicted (union)"
"ADAP1","predicted (union)"
"ADARB2","predicted (union)"
"ADAT1","predicted (union)"
"ADAT2","predicted (union)"
"ADAT3","predicted (union)"
"ADCK1","predicted (union)"
"ADCY1","predicted (intersection) + predicted (union)"
"ADCY9","experimental (all)"
"ADGRE2","predicted (intersection) + predicted (union)"
"ADGRG6","experimental (all)"
"ADH1B","predicted (union)"
"ADO","experimental (all)"
"AFAP1L1","predicted (union)"
"AGAP1","predicted (union)"
"AGBL5","predicted (union)"
"AGFG2","predicted (union)"
"AGO1","experimental (all)"
"AGO2","experimental (strong) + experimental (all) + predicted (intersection) + predicted (union)"
"AGPAT4","predicted (union)"
"AGTPBP1","predicted (union)"
"AHR","predicted (union)"
"AIFM2","predicted (union)"
"AIG1","predicted (union)"
"AIPL1","predicted (union)"
"AK4","predicted (union)"
"AKAP1","predicted (intersection) + predicted (union)"
"AKAP13","predicted (union)"
"AKAP2","experimental (all) + predicted (union)"
"AKR7A2","predicted (union)"
"AKT1","experimental (strong) + experimental (all)"
"ALDH3B2","predicted (union)"
"ALG13","predicted (intersection) + predicted (union)"
"ALG14","predicted (union)"
"ALKBH2","predicted (union)"
"ALS2","predicted (union)"
"ALS2CL","predicted (union)"
"AMER3","predicted (union)"
"AMMECR1","predicted (union)"
"AMN","predicted (intersection) + predicted (union)"
"ANGPT2","predicted (union)"
"ANGPT4","predicted (union)"
"ANKIB1","predicted (union)"
"ANKLE1","predicted (union)"
"ANKRD28","predicted (intersection) + predicted (union)"
"ANKRD33B","predicted (union)"
"ANKRD49","predicted (union)"
"ANKRD52","predicted (union)"
"ANKRD63","predicted (union)"
"ANKS6","predicted (union)"
"ANP32E","predicted (union)"
"ANTXR1","predicted (union)"
"AOPEP","predicted (union)"
"AP1AR","predicted (intersection) + predicted (union)"
"AP1M1","predicted (union)"
"AP1S1","predicted (union)"
"AP2B1","experimental (all)"
"AP5B1","predicted (union)"
"APBA1","predicted (union)"
"APBA3","predicted (union)"
"APCDD1","predicted (union)"
"APEX1","experimental (all)"
"API5","predicted (union)"
"APOA1","predicted (intersection) + predicted (union)"
"APOBEC3F","predicted (union)"
"APOC3","predicted (intersection) + predicted (union)"
"APOL2","predicted (union)"
"AR","predicted (union)"
"ARFGEF1","predicted (union)"
"ARHGEF7","predicted (union)"
"ARID3A","predicted (intersection) + predicted (union)"
"ARID3B","predicted (intersection) + predicted (union)"
"ARL4D","predicted (union)"
"ARRB1","predicted (union)"
"ARSD","predicted (union)"
"ART5","predicted (union)"
"ASB6","predicted (union)"
"ASB7","predicted (union)"
"ATF7IP2","predicted (union)"
"ATP10B","predicted (union)"
"ATP11A","predicted (union)"
"ATP11C","predicted (intersection) + predicted (union)"
"ATP1A1","experimental (all)"
"ATP1A2","predicted (union)"
"ATP2B1","predicted (union)"
"ATP2B4","predicted (union)"
"ATP5F1E","experimental (all)"
"ATP5PB","predicted (union)"
"ATP6AP1","predicted (union)"
"ATP6V1C2","predicted (union)"
"ATP7B","predicted (union)"
"AUTS2","predicted (union)"
"AVPR1B","predicted (union)"
"AXIN1","predicted (union)"
"B3GALNT2","predicted (union)"
"B4GALNT1","predicted (union)"
"B4GALNT3","predicted (intersection) + predicted (union)"
"B4GALT7","predicted (union)"
"BACE2","predicted (union)"
"BAG5","predicted (union)"
"BAK1","predicted (union)"
"BAMBI","predicted (union)"
"BAZ2A","predicted (intersection) + predicted (union)"
"BAZ2B","predicted (intersection) + predicted (union)"
"BBX","predicted (union)"
"BCAR1","predicted (union)"
"BCAS4","predicted (union)"
"BCL2","predicted (union)"
"BCL2L13","predicted (union)"
"BCL7C","predicted (union)"
"BDP1","predicted (union)"
"BEND2","predicted (union)"
"BEND6","predicted (intersection) + predicted (union)"
"BID","predicted (union)"
"BLOC1S2","predicted (union)"
"BLOC1S4","predicted (intersection) + predicted (union)"
"BMF","predicted (union)"
"BMP2","predicted (union)"
"BMPR2","predicted (union)"
"BNC2","predicted (union)"
"BOC","predicted (union)"
"BRCC3","predicted (union)"
"BRD4","predicted (union)"
"BRD7","experimental (all)"
"BRF2","predicted (union)"
"BSG","predicted (union)"
"BTBD9","predicted (union)"
"BTD","predicted (union)"
"BTG3","predicted (union)"
"C11orf42","predicted (union)"
"C11orf49","predicted (union)"
"C12orf45","predicted (union)"
"C12orf66","predicted (union)"
"C14orf28","predicted (union)"
"C16orf54","predicted (union)"
"C19orf38","predicted (union)"
"C1orf109","predicted (union)"
"C1orf115","predicted (union)"
"C1orf116","predicted (union)"
"C1orf198","predicted (union)"
"C20orf194","predicted (intersection) + predicted (union)"
"C2orf72","predicted (union)"
"C3orf67","predicted (intersection) + predicted (union)"
"C3orf80","predicted (union)"
"C4orf3","predicted (union)"
"C4orf33","predicted (union)"
"C5orf22","predicted (intersection) + predicted (union)"
"C6orf120","predicted (union)"
"C7orf26","predicted (union)"
"CACNA1C","predicted (union)"
"CACNA1I","predicted (union)"
"CACNG7","predicted (union)"
"CACNG8","predicted (union)"
"CACTIN","predicted (union)"
"CADM1","predicted (union)"
"CALM2","predicted (union)"
"CAMTA1","predicted (union)"
"CAND2","predicted (intersection) + predicted (union)"
"CAPN13","predicted (union)"
"CAPNS1","experimental (strong) + experimental (all) + predicted (union)"
"CAPZB","predicted (intersection) + predicted (union)"
"CARD9","predicted (union)"
"CASC4","predicted (union)"
"CASK","predicted (union)"
"CASZ1","predicted (union)"
"CATSPER1","predicted (union)"
"CBL","predicted (union)"
"CBWD1","experimental (all)"
"CBX6","predicted (union)"
"CBX7","predicted (union)"
"CCBE1","predicted (union)"
"CCDC113","predicted (union)"
"CCDC115","predicted (union)"
"CCDC117","predicted (union)"
"CCDC124","predicted (union)"
"CCDC134","predicted (union)"
"CCDC3","predicted (union)"
"CCDC6","experimental (all)"
"CCDC77","predicted (union)"
"CCR4","predicted (union)"
"CD14","predicted (union)"
"CD274","predicted (union)"
"CD93","predicted (intersection) + predicted (union)"
"CDC25A","predicted (intersection) + predicted (union)"
"CDC42BPG","predicted (union)"
"CDC42EP4","predicted (union)"
"CDC73","predicted (union)"
"CDCA3","predicted (union)"
"CDH18","predicted (union)"
"CDH6","predicted (union)"
"CDK19","predicted (union)"
"CDK5RAP2","predicted (union)"
"CDK6","predicted (union)"
"CDS2","predicted (union)"
"CDYL2","predicted (intersection) + predicted (union)"
"CELF1","predicted (union)"
"CELSR1","predicted (union)"
"CENPF","predicted (intersection) + predicted (union)"
"CEP104","predicted (union)"
"CEP170B","predicted (intersection) + predicted (union)"
"CEP70","predicted (union)"
"CEP85","predicted (union)"
"CERK","predicted (union)"
"CERS1","experimental (all)"
"CFAP20","predicted (union)"
"CFAP44","predicted (union)"
"CHAF1B","predicted (union)"
"CHERP","predicted (union)"
"CHID1","predicted (union)"
"CHRM2","predicted (union)"
"CHRNB2","predicted (union)"
"CHST3","predicted (union)"
"CHSY1","predicted (union)"
"CIAO3","predicted (union)"
"CKS1B","predicted (intersection) + predicted (union)"
"CLCN6","predicted (intersection) + predicted (union)"
"CLCN7","predicted (union)"
