"Target","Evidence"
"A1CF","predicted (intersection) + predicted (union)"
"A4GNT","predicted (intersection) + predicted (union)"
"AAAS","experimental (all)"
"AADAC","predicted (union)"
"AADAT","experimental (all) + predicted (intersection) + predicted (union)"
"AAGAB","predicted (intersection) + predicted (union)"
"AAK1","predicted (intersection) + predicted (union)"
"AARD","predicted (union)"
"AARS","predicted (union)"
"AASDH","predicted (intersection) + predicted (union)"
"AASDHPPT","predicted (intersection) + predicted (union)"
"AATK","predicted (intersection) + predicted (union)"
"ABAT","predicted (union)"
"ABCA1","predicted (union)"
"ABCA3","predicted (union)"
"ABCA5","predicted (intersection) + predicted (union)"
"ABCB10","predicted (union)"
"ABCB11","predicted (intersection) + predicted (union)"
"ABCB5","predicted (intersection) + predicted (union)"
"ABCB7","experimental (all)"
"ABCB8","predicted (intersection) + predicted (union)"
"ABCC1","experimental (all)"
"ABCC10","predicted (union)"
"ABCC3","predicted (union)"
"ABCC4","experimental (all)"
"ABCC5","predicted (intersection) + predicted (union)"
"ABCC6","experimental (all) + predicted (intersection) + predicted (union)"
"ABCD2","predicted (union)"
"ABCE1","predicted (union)"
"ABCF1","experimental (all) + predicted (intersection) + predicted (union)"
"ABCF2","experimental (all) + predicted (union)"
"ABCF3","predicted (intersection) + predicted (union)"
"ABHD10","experimental (all) + predicted (intersection) + predicted (union)"
"ABHD13","predicted (intersection) + predicted (union)"
"ABHD15","predicted (intersection) + predicted (union)"
"ABHD16A","predicted (union)"
"ABHD16B","predicted (union)"
"ABHD17A","predicted (union)"
"ABHD17C","predicted (union)"
"ABHD2","experimental (all) + predicted (intersection) + predicted (union)"
"ABHD5","predicted (intersection) + predicted (union)"
"ABI1","predicted (union)"
"ABI3","predicted (intersection) + predicted (union)"
"ABL1","predicted (intersection) + predicted (union)"
"ABL2","experimental (all) + predicted (intersection) + predicted (union)"
"ABLIM1","predicted (union)"
"ABLIM2","predicted (intersection) + predicted (union)"
"ABLIM3","predicted (union)"
"ABR","predicted (intersection) + predicted (union)"
"ABRA","predicted (union)"
"ABRACL","predicted (intersection) + predicted (union)"
"ABRAXAS2","predicted (union)"
"ABT1","predicted (union)"
"ABTB2","predicted (intersection) + predicted (union)"
"ACAA1","predicted (intersection) + predicted (union)"
"ACACB","predicted (intersection) + predicted (union)"
"ACAD8","predicted (intersection) + predicted (union)"
"ACAD9","predicted (intersection) + predicted (union)"
"ACADL","predicted (union)"
"ACADSB","predicted (union)"
"ACAN","predicted (union)"
"ACAP2","predicted (union)"
"ACAP3","predicted (union)"
"ACBD5","experimental (all) + predicted (union)"
"ACBD7","predicted (union)"
"ACE","predicted (union)"
"ACER3","predicted (intersection) + predicted (union)"
"ACHE","predicted (union)"
"ACO1","predicted (union)"
"ACOD1","predicted (intersection) + predicted (union)"
"ACOT11","predicted (union)"
"ACOT13","predicted (union)"
"ACOT2","predicted (union)"
"ACOT8","experimental (all)"
"ACOT9","predicted (union)"
"ACOX1","experimental (all) + predicted (intersection) + predicted (union)"
"ACOX3","predicted (intersection) + predicted (union)"
"ACOXL","predicted (intersection) + predicted (union)"
"ACP2","experimental (all) + predicted (intersection) + predicted (union)"
"ACP7","predicted (union)"
"ACPP","predicted (intersection) + predicted (union)"
"ACSBG1","predicted (intersection) + predicted (union)"
"ACSF3","predicted (intersection) + predicted (union)"
"ACSL3","predicted (intersection) + predicted (union)"
"ACSL4","predicted (intersection) + predicted (union)"
"ACSS1","predicted (union)"
"ACTB","experimental (all)"
"ACTC1","predicted (union)"
"ACTG1","experimental (all) + predicted (intersection) + predicted (union)"
"ACTN1","experimental (all)"
"ACTN4","experimental (all) + predicted (union)"
"ACTR1A","experimental (all) + predicted (intersection) + predicted (union)"
