"Target","Evidence"
"A1BG","predicted (union)"
"A1CF","experimental (all) + predicted (intersection) + predicted (union)"
"A4GALT","predicted (union)"
"AADAC","predicted (union)"
"AADAT","predicted (intersection) + predicted (union)"
"AAGAB","predicted (intersection) + predicted (union)"
"AAK1","predicted (intersection) + predicted (union)"
"AAR2","predicted (intersection) + predicted (union)"
"AARD","predicted (intersection) + predicted (union)"
"AARS","predicted (intersection) + predicted (union)"
"AARS2","predicted (intersection) + predicted (union)"
"AASDH","predicted (intersection) + predicted (union)"
"ABAT","predicted (union)"
"ABCA2","predicted (union)"
"ABCA6","predicted (intersection) + predicted (union)"
"ABCA8","predicted (union)"
"ABCB1","predicted (union)"
"ABCB11","predicted (intersection) + predicted (union)"
"ABCB5","predicted (intersection) + predicted (union)"
"ABCB7","experimental (all)"
"ABCB8","predicted (intersection) + predicted (union)"
"ABCB9","predicted (intersection) + predicted (union)"
"ABCC3","predicted (union)"
"ABCC5","predicted (union)"
"ABCC6","predicted (union)"
"ABCC9","predicted (union)"
"ABCD2","predicted (union)"
"ABCD3","predicted (intersection) + predicted (union)"
"ABCF1","predicted (intersection) + predicted (union)"
"ABCF2","predicted (intersection) + predicted (union)"
"ABCF3","predicted (intersection) + predicted (union)"
"ABCG1","predicted (union)"
"ABCG2","predicted (union)"
"ABCG5","predicted (union)"
"ABCG8","experimental (all)"
"ABHD10","predicted (union)"
"ABHD11","predicted (intersection) + predicted (union)"
"ABHD12","predicted (intersection) + predicted (union)"
"ABHD15","experimental (all) + predicted (intersection) + predicted (union)"
"ABHD16B","predicted (union)"
"ABHD18","experimental (all) + predicted (intersection) + predicted (union)"
"ABHD2","experimental (all) + predicted (intersection) + predicted (union)"
"ABHD5","predicted (intersection) + predicted (union)"
"ABHD6","predicted (union)"
"ABHD8","predicted (union)"
"ABL1","predicted (union)"
"ABL2","predicted (intersection) + predicted (union)"
"ABLIM1","predicted (union)"
"ABLIM2","predicted (union)"
"ABLIM3","predicted (union)"
"ABR","predicted (intersection) + predicted (union)"
"ABRACL","predicted (intersection) + predicted (union)"
"ABRAXAS2","predicted (intersection) + predicted (union)"
"ABT1","predicted (intersection) + predicted (union)"
"ACACB","predicted (union)"
"ACAD10","predicted (intersection) + predicted (union)"
"ACAD8","predicted (intersection) + predicted (union)"
"ACAD9","predicted (union)"
"ACADSB","predicted (intersection) + predicted (union)"
"ACAN","predicted (intersection) + predicted (union)"
"ACBD3","predicted (intersection) + predicted (union)"
"ACBD4","predicted (intersection) + predicted (union)"
"ACBD7","predicted (intersection) + predicted (union)"
"ACER1","predicted (intersection) + predicted (union)"
"ACER2","predicted (intersection) + predicted (union)"
"ACER3","predicted (intersection) + predicted (union)"
"ACHE","predicted (union)"
"ACKR3","predicted (intersection) + predicted (union)"
"ACKR4","predicted (union)"
"ACO1","predicted (intersection) + predicted (union)"
"ACOT11","predicted (intersection) + predicted (union)"
"ACOT2","predicted (intersection) + predicted (union)"
"ACOT9","experimental (all) + predicted (intersection) + predicted (union)"
"ACOX1","experimental (all) + predicted (intersection) + predicted (union)"
"ACOXL","predicted (union)"
"ACP2","predicted (intersection) + predicted (union)"
"ACP7","predicted (intersection) + predicted (union)"
"ACPP","predicted (intersection) + predicted (union)"
"ACRBP","predicted (union)"
"ACSBG1","predicted (union)"
"ACSF3","predicted (union)"
"ACSL4","predicted (intersection) + predicted (union)"
"ACSL6","experimental (all) + predicted (intersection) + predicted (union)"
"ACSM2A","predicted (intersection) + predicted (union)"
"ACSM2B","predicted (union)"
"ACSM6","predicted (union)"
"ACSS3","predicted (intersection) + predicted (union)"
"ACTB","predicted (union)"
"ACTC1","predicted (union)"
"ACTL10","predicted (union)"
"ACTN1","predicted (union)"
"ACTR1A","predicted (intersection) + predicted (union)"
"ACTR1B","predicted (intersection) + predicted (union)"
"ACTR2","predicted (union)"
"ACTR3","predicted (intersection) + predicted (union)"
"ACTR5","predicted (union)"
"ACTR8","predicted (union)"
"ACTRT1","predicted (union)"
"ACTRT2","predicted (intersection) + predicted (union)"
"ACTRT3","predicted (intersection) + predicted (union)"
"ACVR1","predicted (union)"
"ACVR1B","predicted (intersection) + predicted (union)"
"ACVR1C","predicted (union)"
"ACVR2A","predicted (union)"
"ACVR2B","predicted (intersection) + predicted (union)"
"ACVRL1","predicted (union)"
"ADAD2","predicted (intersection) + predicted (union)"
"ADAL","predicted (intersection) + predicted (union)"
"ADAM10","predicted (intersection) + predicted (union)"
"ADAM11","predicted (intersection) + predicted (union)"
"ADAM12","predicted (intersection) + predicted (union)"
"ADAM15","predicted (intersection) + predicted (union)"
"ADAM17","predicted (intersection) + predicted (union)"
"ADAM19","predicted (intersection) + predicted (union)"
"ADAM22","predicted (intersection) + predicted (union)"
"ADAM23","predicted (union)"
"ADAM33","predicted (union)"
"ADAM8","predicted (union)"
"ADAMTS1","predicted (union)"
"ADAMTS10","predicted (union)"
"ADAMTS12","predicted (union)"
"ADAMTS14","predicted (union)"
"ADAMTS15","predicted (intersection) + predicted (union)"
"ADAMTS19","predicted (intersection) + predicted (union)"
"ADAMTS2","predicted (union)"
"ADAMTS4","predicted (intersection) + predicted (union)"
