"Target","Evidence"
"A1CF","experimental (all) + predicted (intersection) + predicted (union)"
"A2M","predicted (union)"
"A2ML1","predicted (intersection) + predicted (union)"
"A4GNT","predicted (union)"
"AADAC","predicted (intersection) + predicted (union)"
"AADAT","predicted (intersection) + predicted (union)"
"AAK1","experimental (all) + predicted (intersection) + predicted (union)"
"AAMDC","predicted (union)"
"AAMP","predicted (union)"
"AARD","predicted (intersection) + predicted (union)"
"AARS2","predicted (intersection) + predicted (union)"
"AASDH","predicted (intersection) + predicted (union)"
"AASDHPPT","predicted (union)"
"ABAT","predicted (intersection) + predicted (union)"
"ABCA1","experimental (strong) + experimental (all) + predicted (intersection) + predicted (union)"
"ABCA10","predicted (intersection) + predicted (union)"
"ABCA12","predicted (union)"
"ABCA3","predicted (union)"
"ABCA5","predicted (intersection) + predicted (union)"
"ABCA6","predicted (intersection) + predicted (union)"
"ABCA8","predicted (union)"
"ABCB1","predicted (union)"
"ABCB10","predicted (intersection) + predicted (union)"
"ABCB11","predicted (intersection) + predicted (union)"
"ABCB5","predicted (intersection) + predicted (union)"
"ABCB9","predicted (intersection) + predicted (union)"
"ABCC11","predicted (union)"
"ABCC12","predicted (union)"
"ABCC5","predicted (intersection) + predicted (union)"
"ABCC6","predicted (intersection) + predicted (union)"
"ABCC9","predicted (union)"
"ABCD2","predicted (intersection) + predicted (union)"
"ABCD3","predicted (intersection) + predicted (union)"
"ABCE1","predicted (intersection) + predicted (union)"
"ABCF1","predicted (intersection) + predicted (union)"
"ABCF2","predicted (union)"
"ABCF3","predicted (intersection) + predicted (union)"
"ABCG1","predicted (union)"
"ABCG2","predicted (intersection) + predicted (union)"
"ABCG8","experimental (all)"
"ABHD11","predicted (intersection) + predicted (union)"
"ABHD13","predicted (intersection) + predicted (union)"
"ABHD14A-ACY1","predicted (union)"
"ABHD15","experimental (all) + predicted (intersection) + predicted (union)"
"ABHD17B","predicted (union)"
"ABHD18","experimental (all) + predicted (intersection) + predicted (union)"
"ABHD2","experimental (all) + predicted (intersection) + predicted (union)"
"ABHD4","predicted (union)"
"ABHD5","predicted (intersection) + predicted (union)"
"ABHD6","predicted (union)"
"ABI1","predicted (intersection) + predicted (union)"
"ABI2","experimental (all)"
"ABITRAM","predicted (union)"
"ABL1","predicted (union)"
"ABL2","predicted (intersection) + predicted (union)"
"ABLIM1","predicted (intersection) + predicted (union)"
"ABLIM2","predicted (union)"
"ABLIM3","predicted (union)"
"ABR","predicted (intersection) + predicted (union)"
"ABRA","predicted (intersection) + predicted (union)"
"ABRACL","predicted (intersection) + predicted (union)"
"ABRAXAS1","predicted (intersection) + predicted (union)"
"ABRAXAS2","predicted (intersection) + predicted (union)"
"ABT1","predicted (intersection) + predicted (union)"
"ACAA2","predicted (union)"
"ACAD10","predicted (union)"
"ACAD8","predicted (intersection) + predicted (union)"
"ACADM","predicted (union)"
"ACADSB","experimental (all) + predicted (intersection) + predicted (union)"
"ACADVL","predicted (union)"
"ACAP2","experimental (all) + predicted (intersection) + predicted (union)"
"ACAP3","predicted (union)"
"ACBD3","predicted (union)"
"ACBD5","experimental (all) + predicted (intersection) + predicted (union)"
"ACBD7","predicted (intersection) + predicted (union)"
"ACER1","predicted (intersection) + predicted (union)"
"ACER2","experimental (all) + predicted (intersection) + predicted (union)"
"ACER3","predicted (intersection) + predicted (union)"
"ACKR3","predicted (union)"
"ACKR4","predicted (union)"
"ACO1","predicted (union)"
"ACOT11","predicted (intersection) + predicted (union)"
"ACOT12","predicted (union)"
"ACOT13","predicted (intersection) + predicted (union)"
"ACOT2","experimental (all) + predicted (intersection) + predicted (union)"
"ACOT4","predicted (union)"
"ACOT9","experimental (all) + predicted (intersection) + predicted (union)"
"ACOX1","experimental (all) + predicted (intersection) + predicted (union)"
"ACOX3","predicted (union)"
"ACOXL","predicted (union)"
"ACP1","predicted (intersection) + predicted (union)"
"ACP7","predicted (intersection) + predicted (union)"
"ACPP","predicted (intersection) + predicted (union)"
"ACSBG1","predicted (union)"
"ACSF2","predicted (intersection) + predicted (union)"
"ACSL4","experimental (all) + predicted (intersection) + predicted (union)"
"ACSL6","predicted (intersection) + predicted (union)"
"ACSM1","predicted (union)"
"ACSS1","predicted (union)"
"ACSS3","predicted (intersection) + predicted (union)"
"ACTA1","predicted (union)"
"ACTBL2","predicted (union)"
"ACTL6A","predicted (union)"
"ACTN2","predicted (union)"
"ACTR10","predicted (union)"
"ACTR1A","predicted (intersection) + predicted (union)"
"ACTR1B","predicted (union)"
"ACTR2","experimental (all) + predicted (intersection) + predicted (union)"
"ACTR3","predicted (intersection) + predicted (union)"
"ACTR8","predicted (intersection) + predicted (union)"
"ACTRT3","predicted (intersection) + predicted (union)"
"ACVR1","predicted (union)"
"ACVR1B","experimental (all) + predicted (intersection) + predicted (union)"
"ACVR1C","predicted (intersection) + predicted (union)"
"ACVR2B","predicted (intersection) + predicted (union)"
"ACVRL1","predicted (intersection) + predicted (union)"
"ACY1","predicted (union)"
"ACYP1","predicted (union)"
"ADA2","predicted (union)"
"ADAL","predicted (intersection) + predicted (union)"
"ADAM10","predicted (union)"
"ADAM11","predicted (union)"
"ADAM12","predicted (intersection) + predicted (union)"
"ADAM17","predicted (intersection) + predicted (union)"
"ADAM18","predicted (intersection) + predicted (union)"
"ADAM19","predicted (intersection) + predicted (union)"
"ADAM22","predicted (intersection) + predicted (union)"
"ADAM23","predicted (union)"
"ADAM28","predicted (intersection) + predicted (union)"
"ADAM33","predicted (intersection) + predicted (union)"
"ADAM7","predicted (union)"
"ADAM9","predicted (intersection) + predicted (union)"
"ADAMTS1","predicted (union)"
"ADAMTS12","predicted (union)"
"ADAMTS15","predicted (union)"
"ADAMTS18","predicted (union)"
"ADAMTS3","predicted (union)"
"ADAMTS4","predicted (intersection) + predicted (union)"
"ADAMTS5","predicted (union)"
"ADAMTS9","predicted (union)"
"ADAMTSL1","predicted (intersection) + predicted (union)"
"ADAMTSL2","predicted (intersection) + predicted (union)"
"ADAMTSL3","predicted (intersection) + predicted (union)"
"ADAP1","predicted (union)"
"ADAP2","predicted (intersection) + predicted (union)"
"ADAR","experimental (strong) + experimental (all)"
"ADARB1","experimental (all) + predicted (intersection) + predicted (union)"
"ADARB2","predicted (union)"
"ADAT1","predicted (intersection) + predicted (union)"
"ADAT2","experimental (all) + predicted (intersection) + predicted (union)"
"ADCY1","predicted (intersection) + predicted (union)"
"ADCY2","predicted (union)"
"ADCY3","predicted (union)"
"ADCY5","predicted (union)"
"ADCY9","predicted (intersection) + predicted (union)"
"ADCYAP1","predicted (intersection) + predicted (union)"
"ADCYAP1R1","predicted (intersection) + predicted (union)"
"ADD1","experimental (all) + predicted (intersection) + predicted (union)"
"ADD2","predicted (intersection) + predicted (union)"
"ADGRA1","predicted (union)"
"ADGRA3","predicted (union)"
"ADGRB2","predicted (union)"
"ADGRB3","predicted (union)"
"ADGRD2","predicted (intersection) + predicted (union)"
"ADGRE2","predicted (intersection) + predicted (union)"
"ADGRF1","predicted (intersection) + predicted (union)"
"ADGRF5","predicted (union)"
"ADGRG5","predicted (intersection) + predicted (union)"
"ADGRG6","predicted (union)"
"ADGRG7","predicted (union)"
"ADGRL2","predicted (intersection) + predicted (union)"
"ADGRL3","predicted (intersection) + predicted (union)"
"ADGRV1","predicted (union)"
"ADH1B","predicted (intersection) + predicted (union)"
"ADH4","predicted (union)"
"ADH5","predicted (intersection) + predicted (union)"
"ADHFE1","predicted (intersection) + predicted (union)"
"ADI1","predicted (intersection) + predicted (union)"
"ADIPOR1","predicted (union)"
"ADIPOR2","predicted (intersection) + predicted (union)"
"ADK","predicted (intersection) + predicted (union)"
"ADM","predicted (union)"
"ADM2","predicted (intersection) + predicted (union)"
"ADNP","predicted (union)"
"ADO","predicted (intersection) + predicted (union)"
"ADORA2B","predicted (intersection) + predicted (union)"
"ADPRHL2","predicted (union)"
"ADRA1A","predicted (intersection) + predicted (union)"
"ADRA1B","predicted (intersection) + predicted (union)"
"ADRA2A","predicted (intersection) + predicted (union)"
"ADRB3","predicted (union)"
"ADSL","predicted (intersection) + predicted (union)"
"ADTRP","predicted (intersection) + predicted (union)"
"AEBP2","predicted (intersection) + predicted (union)"
"AEN","predicted (intersection) + predicted (union)"
"AFAP1L1","predicted (union)"
"AFAP1L2","predicted (union)"
"AFF1","experimental (all) + predicted (intersection) + predicted (union)"
"AFF2","predicted (intersection) + predicted (union)"
"AFF3","predicted (union)"
"AFF4","predicted (intersection) + predicted (union)"
"AFG1L","predicted (intersection) + predicted (union)"
"AFP","predicted (union)"
"AGA","predicted (intersection) + predicted (union)"
"AGAP1","predicted (union)"
"AGAP4","predicted (union)"
"AGAP5","predicted (union)"
"AGAP6","predicted (union)"
"AGAP9","predicted (union)"
"AGBL2","predicted (union)"
"AGBL3","predicted (union)"
"AGBL4","predicted (intersection) + predicted (union)"
"AGBL5","predicted (intersection) + predicted (union)"
"AGFG1","predicted (intersection) + predicted (union)"
"AGFG2","experimental (all) + predicted (intersection) + predicted (union)"
"AGGF1","predicted (intersection) + predicted (union)"
"AGK","predicted (intersection) + predicted (union)"
"AGL","predicted (union)"
"AGMAT","experimental (all) + predicted (intersection) + predicted (union)"
"AGMO","predicted (intersection) + predicted (union)"
"AGO1","experimental (all) + predicted (intersection) + predicted (union)"
"AGO2","predicted (intersection) + predicted (union)"
"AGO3","experimental (all) + predicted (intersection) + predicted (union)"
"AGO4","predicted (intersection) + predicted (union)"
"AGPAT3","predicted (intersection) + predicted (union)"
"AGPAT4","predicted (union)"
"AGPAT5","predicted (intersection) + predicted (union)"
"AGPS","predicted (intersection) + predicted (union)"
"AGR2","predicted (union)"
"AGTPBP1","predicted (intersection) + predicted (union)"
"AGTR2","predicted (intersection) + predicted (union)"
"AHCTF1","predicted (intersection) + predicted (union)"
"AHCY","predicted (union)"
"AHCYL1","predicted (union)"
"AHCYL2","predicted (intersection) + predicted (union)"
"AHI1","predicted (intersection) + predicted (union)"
"AHNAK","predicted (intersection) + predicted (union)"
"AHR","predicted (union)"
"AHRR","predicted (intersection) + predicted (union)"
"AICDA","predicted (intersection) + predicted (union)"
"AIDA","predicted (union)"
"AIFM1","predicted (intersection) + predicted (union)"
"AIFM2","predicted (intersection) + predicted (union)"
"AIG1","predicted (intersection) + predicted (union)"
"AIPL1","predicted (intersection) + predicted (union)"
"AIRE","predicted (union)"
"AJAP1","predicted (intersection) + predicted (union)"
"AJUBA","predicted (intersection) + predicted (union)"
"AK1","experimental (all)"
"AK2","predicted (union)"
"AK3","predicted (intersection) + predicted (union)"
"AK4","predicted (intersection) + predicted (union)"
"AK5","predicted (union)"
"AK6","predicted (union)"
"AK7","predicted (union)"
"AK9","predicted (intersection) + predicted (union)"
"AKAP10","predicted (union)"
"AKAP11","experimental (all) + predicted (intersection) + predicted (union)"
"AKAP12","predicted (union)"
"AKAP13","predicted (intersection) + predicted (union)"
"AKAP17A","predicted (union)"
"AKAP2","predicted (intersection) + predicted (union)"
"AKAP5","predicted (intersection) + predicted (union)"
