"Target","Evidence"
"A1BG","predicted (intersection) + predicted (union)"
"A1CF","predicted (intersection) + predicted (union)"
"A4GALT","predicted (intersection) + predicted (union)"
"AADAC","predicted (union)"
"AAK1","predicted (intersection) + predicted (union)"
"AAMDC","predicted (union)"
"AAMP","experimental (all)"
"AANAT","experimental (strong) + experimental (all)"
"AAR2","predicted (intersection) + predicted (union)"
"AARS","predicted (intersection) + predicted (union)"
"AARS2","predicted (intersection) + predicted (union)"
"AASDH","predicted (union)"
"ABAT","predicted (intersection) + predicted (union)"
"ABCA1","predicted (intersection) + predicted (union)"
"ABCA12","predicted (union)"
"ABCA2","predicted (union)"
"ABCA5","predicted (union)"
"ABCA8","predicted (intersection) + predicted (union)"
"ABCB1","predicted (intersection) + predicted (union)"
"ABCB10","predicted (intersection) + predicted (union)"
"ABCB11","predicted (union)"
"ABCB5","predicted (union)"
"ABCB8","predicted (intersection) + predicted (union)"
"ABCB9","predicted (union)"
"ABCC10","experimental (all)"
"ABCC12","predicted (union)"
"ABCC5","predicted (intersection) + predicted (union)"
"ABCC6","predicted (union)"
"ABCC8","predicted (intersection) + predicted (union)"
"ABCC9","predicted (intersection) + predicted (union)"
"ABCD1","predicted (intersection) + predicted (union)"
"ABCD2","predicted (union)"
"ABCF1","experimental (all) + predicted (union)"
"ABCF3","predicted (intersection) + predicted (union)"
"ABCG1","predicted (intersection) + predicted (union)"
"ABCG2","predicted (union)"
"ABCG5","predicted (intersection) + predicted (union)"
"ABHD10","predicted (intersection) + predicted (union)"
"ABHD11","predicted (union)"
"ABHD12B","predicted (intersection) + predicted (union)"
"ABHD13","predicted (intersection) + predicted (union)"
"ABHD14A-ACY1","experimental (all) + predicted (union)"
"ABHD15","predicted (union)"
"ABHD17A","predicted (union)"
"ABHD17B","predicted (union)"
"ABHD17C","experimental (all)"
"ABHD18","predicted (intersection) + predicted (union)"
"ABHD4","predicted (union)"
"ABHD6","predicted (intersection) + predicted (union)"
"ABI1","predicted (union)"
"ABL1","predicted (union)"
"ABL2","predicted (intersection) + predicted (union)"
"ABLIM1","predicted (union)"
"ABLIM2","predicted (union)"
"ABLIM3","predicted (union)"
"ABRACL","predicted (intersection) + predicted (union)"
"ABRAXAS2","experimental (all) + predicted (intersection) + predicted (union)"
"ACAA1","predicted (union)"
"ACAA2","predicted (union)"
"ACACB","predicted (union)"
"ACAD8","predicted (intersection) + predicted (union)"
"ACADL","predicted (union)"
"ACADSB","predicted (intersection) + predicted (union)"
"ACAP1","predicted (union)"
"ACBD5","predicted (union)"
"ACBD7","predicted (union)"
"ACCS","predicted (intersection) + predicted (union)"
"ACER2","predicted (intersection) + predicted (union)"
"ACER3","predicted (union)"
"ACO1","predicted (intersection) + predicted (union)"
"ACO2","predicted (intersection) + predicted (union)"
"ACOD1","predicted (intersection) + predicted (union)"
"ACOT11","predicted (union)"
"ACOT13","predicted (intersection) + predicted (union)"
"ACOT2","predicted (intersection) + predicted (union)"
"ACOT9","predicted (union)"
"ACOX1","predicted (union)"
"ACOXL","predicted (union)"
"ACP1","predicted (intersection) + predicted (union)"
"ACP6","experimental (all)"
"ACP7","predicted (union)"
"ACPP","predicted (union)"
"ACSL3","predicted (union)"
"ACSM1","predicted (intersection) + predicted (union)"
"ACSM2A","predicted (intersection) + predicted (union)"
"ACSM2B","predicted (intersection) + predicted (union)"
"ACSS1","predicted (intersection) + predicted (union)"
"ACTA1","predicted (union)"
"ACTB","predicted (union)"
"ACTL8","predicted (union)"
"ACTN4","predicted (union)"
"ACTR1A","predicted (intersection) + predicted (union)"
"ACTR3","predicted (union)"
"ACTR8","predicted (intersection) + predicted (union)"
"ACTRT1","predicted (union)"
"ACTRT3","predicted (union)"
"ACVR1B","predicted (intersection) + predicted (union)"
"ACVR1C","predicted (intersection) + predicted (union)"
"ACVR2A","predicted (intersection) + predicted (union)"
"ACVR2B","predicted (intersection) + predicted (union)"
"ACY1","experimental (all) + predicted (union)"
"ADA2","predicted (union)"
"ADAL","predicted (union)"
"ADAM11","predicted (intersection) + predicted (union)"
"ADAM12","predicted (intersection) + predicted (union)"
"ADAM17","predicted (union)"
"ADAM19","predicted (union)"
"ADAM2","predicted (union)"
"ADAM22","predicted (union)"
"ADAM23","predicted (union)"
"ADAM7","predicted (intersection) + predicted (union)"
"ADAMTS12","predicted (union)"
"ADAMTS15","predicted (intersection) + predicted (union)"
"ADAMTS16","predicted (union)"
"ADAMTS17","predicted (union)"
"ADAMTS2","predicted (intersection) + predicted (union)"
"ADAMTS4","predicted (intersection) + predicted (union)"
"ADAMTS5","predicted (intersection) + predicted (union)"
"ADARB2","predicted (union)"
"ADAT1","predicted (intersection) + predicted (union)"
"ADAT2","predicted (intersection) + predicted (union)"
"ADCK1","predicted (intersection) + predicted (union)"
"ADCY1","predicted (union)"
"ADCY2","predicted (intersection) + predicted (union)"
