"Target","Evidence"
"A1CF","predicted (intersection) + predicted (union)"
"A2ML1","predicted (union)"
"A4GALT","experimental (all) + predicted (intersection) + predicted (union)"
"AAGAB","predicted (intersection) + predicted (union)"
"AAK1","predicted (intersection) + predicted (union)"
"AAMP","predicted (intersection) + predicted (union)"
"AANAT","predicted (union)"
"AAR2","predicted (intersection) + predicted (union)"
"AASDHPPT","predicted (union)"
"AATK","predicted (intersection) + predicted (union)"
"ABAT","predicted (intersection) + predicted (union)"
"ABCA1","predicted (union)"
"ABCA10","predicted (union)"
"ABCA2","predicted (intersection) + predicted (union)"
"ABCA3","predicted (intersection) + predicted (union)"
"ABCA6","predicted (union)"
"ABCB11","predicted (intersection) + predicted (union)"
"ABCB5","predicted (union)"
"ABCB8","predicted (intersection) + predicted (union)"
"ABCB9","predicted (union)"
"ABCC1","predicted (intersection) + predicted (union)"
"ABCC3","predicted (intersection) + predicted (union)"
"ABCC5","predicted (intersection) + predicted (union)"
"ABCC6","experimental (all) + predicted (union)"
"ABCC9","predicted (intersection) + predicted (union)"
"ABCD1","predicted (union)"
"ABCD2","predicted (union)"
"ABCD4","predicted (union)"
"ABCF1","predicted (union)"
"ABCF2","experimental (all) + predicted (intersection) + predicted (union)"
"ABCF3","predicted (intersection) + predicted (union)"
"ABCG1","predicted (union)"
"ABCG2","predicted (intersection) + predicted (union)"
"ABCG5","predicted (intersection) + predicted (union)"
"ABHD14A","predicted (union)"
"ABHD15","predicted (intersection) + predicted (union)"
"ABHD16B","predicted (intersection) + predicted (union)"
"ABHD17A","predicted (union)"
"ABHD2","predicted (union)"
"ABHD4","predicted (intersection) + predicted (union)"
"ABHD6","predicted (intersection) + predicted (union)"
"ABI3","predicted (union)"
"ABL1","predicted (intersection) + predicted (union)"
"ABL2","predicted (union)"
"ABLIM1","predicted (intersection) + predicted (union)"
"ABLIM2","predicted (union)"
"ABLIM3","predicted (intersection) + predicted (union)"
"ABR","predicted (intersection) + predicted (union)"
"ABTB2","predicted (union)"
"ACAD10","predicted (union)"
"ACADS","predicted (intersection) + predicted (union)"
"ACADSB","predicted (union)"
"ACAP2","experimental (all) + predicted (intersection) + predicted (union)"
"ACAP3","predicted (intersection) + predicted (union)"
"ACBD3","predicted (union)"
"ACBD7","predicted (union)"
"ACCS","predicted (union)"
"ACE","predicted (intersection) + predicted (union)"
"ACER2","predicted (intersection) + predicted (union)"
"ACLY","predicted (union)"
"ACO1","predicted (intersection) + predicted (union)"
"ACOT11","predicted (intersection) + predicted (union)"
"ACOT13","predicted (intersection) + predicted (union)"
"ACOT2","predicted (union)"
"ACOX1","predicted (intersection) + predicted (union)"
"ACOX3","predicted (intersection) + predicted (union)"
"ACOXL","predicted (intersection) + predicted (union)"
"ACP2","predicted (intersection) + predicted (union)"
"ACP7","predicted (union)"
"ACPP","predicted (intersection) + predicted (union)"
"ACRBP","predicted (intersection) + predicted (union)"
"ACRV1","predicted (intersection) + predicted (union)"
"ACSBG1","predicted (union)"
"ACSF3","predicted (intersection) + predicted (union)"
"ACSM2A","predicted (intersection) + predicted (union)"
"ACSM2B","predicted (intersection) + predicted (union)"
"ACTB","experimental (all)"
"ACTC1","predicted (union)"
"ACTG1","experimental (all)"
"ACTG2","predicted (union)"
"ACTN2","predicted (union)"
"ACTN4","predicted (intersection) + predicted (union)"
"ACTR1A","predicted (union)"
"ACTR1B","predicted (union)"
"ACTR3B","predicted (intersection) + predicted (union)"
"ACTR8","predicted (intersection) + predicted (union)"
"ACTRT3","predicted (intersection) + predicted (union)"
"ACVR1B","predicted (intersection) + predicted (union)"
"ACVR2B","predicted (intersection) + predicted (union)"
"ACVRL1","predicted (intersection) + predicted (union)"
"ACY3","predicted (intersection) + predicted (union)"
"ADA2","predicted (intersection) + predicted (union)"
"ADAD2","predicted (union)"
"ADAL","predicted (intersection) + predicted (union)"
"ADAM11","predicted (intersection) + predicted (union)"
"ADAM12","predicted (intersection) + predicted (union)"
"ADAM15","predicted (union)"
"ADAM17","predicted (intersection) + predicted (union)"
"ADAM19","predicted (intersection) + predicted (union)"
"ADAM23","predicted (union)"
"ADAM28","predicted (union)"
"ADAM29","predicted (intersection) + predicted (union)"
"ADAM33","predicted (intersection) + predicted (union)"
"ADAM8","predicted (union)"
"ADAMTS10","predicted (intersection) + predicted (union)"
"ADAMTS12","predicted (intersection) + predicted (union)"
"ADAMTS14","predicted (union)"
"ADAMTS15","predicted (union)"
"ADAMTS17","predicted (union)"
"ADAMTS18","predicted (intersection) + predicted (union)"
"ADAMTS2","predicted (intersection) + predicted (union)"
"ADAMTS3","predicted (union)"
"ADAMTS4","predicted (union)"
"ADAMTS5","predicted (union)"
"ADAMTSL1","predicted (union)"
"ADAMTSL2","predicted (union)"
"ADAP1","predicted (union)"
"ADARB2","predicted (intersection) + predicted (union)"
"ADAT1","predicted (intersection) + predicted (union)"
"ADAT2","predicted (intersection) + predicted (union)"
"ADCK1","predicted (intersection) + predicted (union)"
"ADCY1","predicted (intersection) + predicted (union)"
"ADCY3","predicted (union)"
"ADCY5","predicted (intersection) + predicted (union)"
"ADCY9","predicted (intersection) + predicted (union)"
"ADCYAP1R1","predicted (intersection) + predicted (union)"
"ADD1","predicted (union)"
"ADD2","predicted (intersection) + predicted (union)"
"ADD3","predicted (union)"
"ADGRA1","predicted (intersection) + predicted (union)"
"ADGRB1","predicted (union)"
"ADGRD2","predicted (intersection) + predicted (union)"
"ADGRE1","predicted (union)"
"ADGRE2","predicted (intersection) + predicted (union)"
"ADGRE5","predicted (union)"
"ADGRF1","predicted (intersection) + predicted (union)"
"ADGRF3","predicted (union)"
"ADGRG2","predicted (intersection) + predicted (union)"
"ADGRG5","predicted (intersection) + predicted (union)"
"ADGRL1","predicted (intersection) + predicted (union)"
"ADGRL3","predicted (union)"
"ADH5","predicted (union)"
"ADIPOR2","predicted (union)"
"ADM","predicted (union)"
"ADM2","predicted (intersection) + predicted (union)"
"ADM5","predicted (intersection) + predicted (union)"
"ADNP","predicted (union)"
"ADO","predicted (union)"
"ADORA1","predicted (union)"
"ADORA2A","predicted (intersection) + predicted (union)"
"ADRA1A","predicted (union)"
"ADRA1D","predicted (intersection) + predicted (union)"
"ADRA2C","predicted (intersection) + predicted (union)"
"ADRB1","predicted (union)"
"ADSL","predicted (union)"
"ADSSL1","predicted (union)"
"AEBP2","predicted (union)"
"AEN","predicted (union)"
"AFF1","predicted (intersection) + predicted (union)"
"AFF2","predicted (intersection) + predicted (union)"
"AFF3","predicted (intersection) + predicted (union)"
"AFG3L2","predicted (intersection) + predicted (union)"
"AGAP1","predicted (intersection) + predicted (union)"
"AGAP2","predicted (intersection) + predicted (union)"
"AGAP3","predicted (intersection) + predicted (union)"
"AGBL3","predicted (union)"
"AGBL4","predicted (intersection) + predicted (union)"
"AGBL5","predicted (intersection) + predicted (union)"
"AGER","predicted (intersection) + predicted (union)"
"AGFG1","predicted (intersection) + predicted (union)"
"AGFG2","predicted (intersection) + predicted (union)"
"AGGF1","predicted (union)"
"AGMAT","predicted (union)"
"AGMO","predicted (intersection) + predicted (union)"
"AGO1","experimental (all) + predicted (intersection) + predicted (union)"
"AGO2","predicted (union)"
"AGO3","predicted (union)"
"AGO4","predicted (intersection) + predicted (union)"
"AGPAT2","predicted (union)"
"AGPAT3","predicted (intersection) + predicted (union)"
"AGPAT4","predicted (intersection) + predicted (union)"
"AGPAT5","predicted (union)"
"AGPS","predicted (union)"
"AGRN","predicted (intersection) + predicted (union)"
"AGTPBP1","predicted (union)"
"AGTRAP","predicted (intersection) + predicted (union)"
"AGXT2","predicted (union)"
"AHCY","predicted (intersection) + predicted (union)"
"AHCYL1","predicted (union)"
"AHCYL2","predicted (intersection) + predicted (union)"
"AHDC1","predicted (intersection) + predicted (union)"
"AHNAK","predicted (intersection) + predicted (union)"
"AHR","predicted (union)"
"AHRR","predicted (intersection) + predicted (union)"
"AIF1","predicted (union)"
"AIF1L","predicted (union)"
"AIFM1","predicted (intersection) + predicted (union)"
"AIFM2","predicted (union)"
"AIG1","predicted (intersection) + predicted (union)"
"AIMP1","predicted (union)"
"AIPL1","predicted (intersection) + predicted (union)"
"AJAP1","predicted (intersection) + predicted (union)"
"AJUBA","predicted (intersection) + predicted (union)"
"AK2","predicted (intersection) + predicted (union)"
"AK4","predicted (intersection) + predicted (union)"
"AK9","predicted (union)"
"AKAP10","predicted (union)"
"AKAP12","predicted (intersection) + predicted (union)"
"AKAP13","predicted (intersection) + predicted (union)"
"AKAP2","predicted (union)"
"AKAP5","predicted (intersection) + predicted (union)"
"AKIRIN1","predicted (intersection) + predicted (union)"
"AKNA","predicted (intersection) + predicted (union)"
"AKR1C1","predicted (union)"
"AKR7A2","predicted (union)"
"AKT1","experimental (all)"
"AKT2","predicted (intersection) + predicted (union)"
"ALAD","predicted (intersection) + predicted (union)"
"ALCAM","predicted (intersection) + predicted (union)"
"ALDH1A2","predicted (intersection) + predicted (union)"
"ALDH1A3","predicted (intersection) + predicted (union)"
"ALDH1B1","predicted (intersection) + predicted (union)"
"ALDH1L1","predicted (union)"
"ALDH1L2","predicted (intersection) + predicted (union)"
"ALDH3A2","predicted (union)"
"ALDH4A1","predicted (intersection) + predicted (union)"
"ALDH5A1","predicted (intersection) + predicted (union)"
"ALDH7A1","predicted (intersection) + predicted (union)"
"ALG12","predicted (union)"
"ALG14","predicted (intersection) + predicted (union)"
"ALG6","predicted (union)"
"ALG9","predicted (intersection) + predicted (union)"
"ALK","predicted (union)"
"ALKBH5","predicted (union)"
"ALKBH8","predicted (intersection) + predicted (union)"
"ALOX15B","predicted (intersection) + predicted (union)"
"ALPG","predicted (intersection) + predicted (union)"
"ALPI","predicted (intersection) + predicted (union)"
"ALPK3","predicted (intersection) + predicted (union)"
"ALPL","predicted (intersection) + predicted (union)"
"ALS2CL","predicted (intersection) + predicted (union)"
"ALX3","predicted (intersection) + predicted (union)"
"ALX4","predicted (intersection) + predicted (union)"
"AMACR","predicted (intersection) + predicted (union)"
"AMBRA1","predicted (union)"
