"Target","Evidence"
"A1BG","predicted (union)"
"A1CF","predicted (union)"
"A2ML1","predicted (union)"
"A4GNT","predicted (union)"
"AADAT","predicted (union)"
"AAGAB","predicted (union)"
"AAK1","predicted (intersection) + predicted (union)"
"AAR2","predicted (union)"
"AARD","predicted (union)"
"AARS2","predicted (union)"
"AASDH","predicted (union)"
"AASDHPPT","predicted (union)"
"ABAT","predicted (union)"
"ABCA5","predicted (union)"
"ABCA6","predicted (union)"
"ABCB10","predicted (intersection) + predicted (union)"
"ABCB11","predicted (intersection) + predicted (union)"
"ABCB5","predicted (intersection) + predicted (union)"
"ABCB9","predicted (union)"
"ABCC1","predicted (union)"
"ABCC3","predicted (union)"
"ABCC5","predicted (intersection) + predicted (union)"
"ABCC6","predicted (intersection) + predicted (union)"
"ABCC9","predicted (intersection) + predicted (union)"
"ABCD1","predicted (intersection) + predicted (union)"
"ABCD2","predicted (intersection) + predicted (union)"
"ABCF1","predicted (union)"
"ABCF2","predicted (intersection) + predicted (union)"
"ABCF3","predicted (union)"
"ABCG1","predicted (intersection) + predicted (union)"
"ABCG2","predicted (intersection) + predicted (union)"
"ABHD11","predicted (union)"
"ABHD12","predicted (union)"
"ABHD13","predicted (intersection) + predicted (union)"
"ABHD15","predicted (union)"
"ABHD17B","predicted (intersection) + predicted (union)"
"ABHD18","predicted (intersection) + predicted (union)"
"ABHD2","predicted (intersection) + predicted (union)"
"ABHD4","predicted (intersection) + predicted (union)"
"ABHD5","predicted (intersection) + predicted (union)"
"ABHD6","predicted (union)"
"ABI3BP","predicted (union)"
"ABL1","predicted (union)"
"ABL2","predicted (intersection) + predicted (union)"
"ABLIM1","predicted (union)"
"ABLIM2","predicted (intersection) + predicted (union)"
"ABLIM3","predicted (intersection) + predicted (union)"
"ABR","predicted (intersection) + predicted (union)"
"ABRACL","predicted (union)"
"ABRAXAS1","predicted (union)"
"ABRAXAS2","predicted (union)"
"ABTB2","predicted (union)"
"ACAA2","predicted (union)"
"ACACB","predicted (union)"
"ACAD8","predicted (intersection) + predicted (union)"
"ACADL","predicted (intersection) + predicted (union)"
"ACADM","predicted (union)"
"ACADSB","predicted (intersection) + predicted (union)"
"ACAP2","predicted (intersection) + predicted (union)"
"ACBD3","predicted (union)"
"ACBD4","predicted (union)"
"ACBD5","predicted (intersection) + predicted (union)"
"ACBD6","predicted (union)"
"ACBD7","predicted (intersection) + predicted (union)"
"ACER2","predicted (intersection) + predicted (union)"
"ACER3","predicted (intersection) + predicted (union)"
"ACKR3","predicted (intersection) + predicted (union)"
"ACKR4","predicted (union)"
"ACLY","predicted (union)"
"ACO1","predicted (union)"
"ACOT11","predicted (intersection) + predicted (union)"
"ACOT12","predicted (intersection) + predicted (union)"
"ACOT2","predicted (union)"
"ACOT4","predicted (union)"
"ACOT9","predicted (intersection) + predicted (union)"
"ACOX1","predicted (intersection) + predicted (union)"
"ACOXL","predicted (intersection) + predicted (union)"
"ACP1","predicted (union)"
"ACP7","predicted (union)"
"ACSBG1","predicted (union)"
"ACSF2","predicted (union)"
"ACSF3","predicted (union)"
"ACSL4","predicted (intersection) + predicted (union)"
"ACSL6","predicted (intersection) + predicted (union)"
"ACSM5","predicted (union)"
"ACSS3","predicted (union)"
"ACTBL2","predicted (intersection) + predicted (union)"
"ACTL10","predicted (union)"
"ACTN4","predicted (union)"
"ACTR10","predicted (union)"
"ACTR1A","predicted (union)"
"ACTR3","predicted (union)"
"ACTR8","predicted (intersection) + predicted (union)"
"ACTRT3","predicted (intersection) + predicted (union)"
"ACVR1","predicted (union)"
"ACVR1C","predicted (union)"
"ACVR2A","predicted (intersection) + predicted (union)"
"ACVR2B","predicted (intersection) + predicted (union)"
"ADAL","predicted (union)"
"ADAM12","predicted (intersection) + predicted (union)"
"ADAM19","predicted (union)"
"ADAM22","predicted (intersection) + predicted (union)"
"ADAM23","predicted (intersection) + predicted (union)"
"ADAM28","predicted (intersection) + predicted (union)"
"ADAM33","predicted (union)"
"ADAM9","predicted (intersection) + predicted (union)"
"ADAMDEC1","predicted (union)"
"ADAMTS14","predicted (intersection) + predicted (union)"
"ADAMTS15","predicted (intersection) + predicted (union)"
"ADAMTS17","predicted (union)"
"ADAMTS2","predicted (intersection) + predicted (union)"
"ADAMTS4","predicted (union)"
"ADAMTS5","predicted (intersection) + predicted (union)"
"ADAMTS9","predicted (union)"
"ADAMTSL1","predicted (intersection) + predicted (union)"
"ADAMTSL2","predicted (union)"
"ADARB2","predicted (intersection) + predicted (union)"
"ADAT1","predicted (union)"
"ADAT2","predicted (union)"
"ADCY1","predicted (intersection) + predicted (union)"
"ADCY2","predicted (intersection) + predicted (union)"
"ADCY5","predicted (intersection) + predicted (union)"
"ADCYAP1","predicted (intersection) + predicted (union)"
"ADCYAP1R1","predicted (intersection) + predicted (union)"
"ADD2","predicted (intersection) + predicted (union)"
"ADGRA3","predicted (union)"
"ADGRB1","predicted (union)"
"ADGRB3","predicted (intersection) + predicted (union)"
"ADGRG2","predicted (union)"
"ADGRG6","predicted (intersection) + predicted (union)"
"ADGRL1","predicted (union)"
"ADGRL2","predicted (union)"
"ADGRL3","predicted (intersection) + predicted (union)"
"ADH1B","predicted (union)"
"ADH5","predicted (intersection) + predicted (union)"
"ADHFE1","predicted (union)"
"ADI1","predicted (intersection) + predicted (union)"
"ADIPOR2","predicted (intersection) + predicted (union)"
"ADK","predicted (union)"
"ADM2","predicted (union)"
"ADNP","predicted (union)"
"ADNP2","predicted (union)"
"ADO","predicted (union)"
"ADPGK","predicted (union)"
"ADRA1A","predicted (intersection) + predicted (union)"
"ADRA2A","predicted (union)"
"ADRB3","predicted (intersection) + predicted (union)"
"ADRM1","predicted (union)"
"ADSL","predicted (union)"
"ADSS","predicted (intersection) + predicted (union)"
"AEBP2","predicted (intersection) + predicted (union)"
"AEN","predicted (intersection) + predicted (union)"
"AFAP1L1","predicted (intersection) + predicted (union)"
"AFF1","predicted (union)"
"AFF2","predicted (intersection) + predicted (union)"
"AFF3","predicted (intersection) + predicted (union)"
"AFF4","predicted (intersection) + predicted (union)"
"AFG1L","predicted (union)"
"AFMID","predicted (union)"
"AGAP1","predicted (union)"
"AGAP2","predicted (intersection) + predicted (union)"
"AGAP4","predicted (union)"
"AGAP5","predicted (union)"
"AGAP6","predicted (union)"
"AGAP9","predicted (union)"
"AGBL4","predicted (intersection) + predicted (union)"
"AGBL5","predicted (union)"
"AGFG1","predicted (intersection) + predicted (union)"
"AGGF1","predicted (intersection) + predicted (union)"
"AGMAT","predicted (union)"
"AGO1","predicted (intersection) + predicted (union)"
"AGO2","predicted (intersection) + predicted (union)"
"AGO3","predicted (intersection) + predicted (union)"
"AGO4","predicted (intersection) + predicted (union)"
"AGPAT4","predicted (intersection) + predicted (union)"
"AGPAT5","predicted (union)"
"AGPS","predicted (intersection) + predicted (union)"
"AGR2","predicted (union)"
"AGT","predicted (union)"
"AGTPBP1","predicted (intersection) + predicted (union)"
"AGTRAP","predicted (union)"
"AGXT","predicted (union)"
"AGXT2","predicted (union)"
"AHCTF1","predicted (intersection) + predicted (union)"
"AHCY","predicted (union)"
"AHCYL2","predicted (union)"
"AHI1","predicted (union)"
"AHNAK","predicted (union)"
"AHR","predicted (intersection) + predicted (union)"
"AHRR","predicted (union)"
"AICDA","predicted (union)"
"AIDA","predicted (intersection) + predicted (union)"
"AIF1L","predicted (union)"
"AIFM1","predicted (union)"
"AIFM2","predicted (union)"
"AIFM3","predicted (union)"
"AIG1","predicted (union)"
"AIM2","predicted (union)"
"AIPL1","predicted (union)"
"AIRE","predicted (union)"
