"Target","Evidence"
"A1CF","predicted (union)"
"A4GNT","predicted (union)"
"AADAC","predicted (union)"
"AAGAB","predicted (union)"
"AAK1","predicted (intersection) + predicted (union)"
"AARD","predicted (union)"
"AARS2","predicted (union)"
"AARSD1","predicted (intersection) + predicted (union)"
"AASDH","predicted (union)"
"ABCA1","experimental (strong) + experimental (all) + predicted (intersection) + predicted (union)"
"ABCA5","predicted (intersection) + predicted (union)"
"ABCB1","predicted (union)"
"ABCB11","predicted (intersection) + predicted (union)"
"ABCB5","predicted (union)"
"ABCC1","predicted (union)"
"ABCC12","predicted (union)"
"ABCC3","predicted (intersection) + predicted (union)"
"ABCC5","predicted (union)"
"ABCC9","predicted (intersection) + predicted (union)"
"ABCD2","predicted (union)"
"ABCE1","predicted (intersection) + predicted (union)"
"ABCF2","predicted (union)"
"ABCF3","predicted (union)"
"ABCG1","predicted (intersection) + predicted (union)"
"ABCG2","predicted (union)"
"ABHD10","predicted (intersection) + predicted (union)"
"ABHD14B","experimental (all)"
"ABHD15","predicted (union)"
"ABHD16A","predicted (union)"
"ABHD16B","predicted (union)"
"ABHD17A","predicted (intersection) + predicted (union)"
"ABHD17B","predicted (union)"
"ABHD17C","experimental (all) + predicted (intersection) + predicted (union)"
"ABHD18","predicted (union)"
"ABHD2","predicted (intersection) + predicted (union)"
"ABHD3","predicted (union)"
"ABHD4","predicted (union)"
"ABHD5","experimental (all) + predicted (intersection) + predicted (union)"
"ABHD6","predicted (intersection) + predicted (union)"
"ABL1","predicted (intersection) + predicted (union)"
"ABL2","predicted (union)"
"ABLIM1","predicted (union)"
"ABR","predicted (intersection) + predicted (union)"
"ABRAXAS1","predicted (union)"
"ABRAXAS2","predicted (intersection) + predicted (union)"
"ACADM","predicted (union)"
"ACADSB","predicted (intersection) + predicted (union)"
"ACBD3","predicted (union)"
"ACBD5","experimental (all) + predicted (intersection) + predicted (union)"
"ACBD7","predicted (union)"
"ACER1","predicted (union)"
"ACER2","predicted (intersection) + predicted (union)"
"ACER3","predicted (intersection) + predicted (union)"
"ACO1","predicted (intersection) + predicted (union)"
"ACOT11","predicted (union)"
"ACOT13","predicted (intersection) + predicted (union)"
"ACOT2","predicted (intersection) + predicted (union)"
"ACOT4","predicted (union)"
"ACOT9","predicted (union)"
"ACOX3","predicted (intersection) + predicted (union)"
"ACP1","predicted (union)"
"ACP2","predicted (union)"
"ACSBG1","predicted (intersection) + predicted (union)"
"ACSL3","predicted (intersection) + predicted (union)"
"ACSL4","experimental (all) + predicted (intersection) + predicted (union)"
"ACSL6","predicted (union)"
"ACSM2A","predicted (union)"
"ACSM2B","predicted (union)"
"ACSM5","predicted (union)"
"ACSS1","predicted (union)"
"ACSS3","predicted (union)"
"ACTB","experimental (all) + predicted (union)"
"ACTN1","predicted (intersection) + predicted (union)"
"ACTN2","predicted (union)"
"ACTR1A","predicted (union)"
"ACTR3","predicted (union)"
"ACTR3B","predicted (union)"
"ACTR3C","predicted (union)"
"ACVR1","predicted (union)"
"ACVR1B","predicted (intersection) + predicted (union)"
"ACVR1C","predicted (intersection) + predicted (union)"
"ACVR2A","predicted (union)"
"ACVR2B","predicted (union)"
"ACVRL1","predicted (intersection) + predicted (union)"
"ADA","predicted (union)"
"ADA2","predicted (union)"
"ADAL","predicted (intersection) + predicted (union)"
"ADAM10","predicted (union)"
"ADAM11","predicted (union)"
"ADAM12","predicted (intersection) + predicted (union)"
"ADAM18","predicted (union)"
"ADAM19","predicted (union)"
"ADAM22","predicted (union)"
"ADAM23","predicted (intersection) + predicted (union)"
"ADAM28","predicted (intersection) + predicted (union)"
"ADAMTS15","predicted (intersection) + predicted (union)"
"ADAMTS17","predicted (union)"
"ADAMTS18","predicted (intersection) + predicted (union)"
"ADAMTS19","predicted (union)"
"ADAMTS20","predicted (union)"
"ADAMTS4","predicted (intersection) + predicted (union)"
"ADAMTS5","predicted (intersection) + predicted (union)"
"ADAMTSL1","predicted (union)"
"ADAMTSL3","predicted (intersection) + predicted (union)"
"ADAP1","predicted (union)"
"ADAP2","predicted (intersection) + predicted (union)"
"ADARB2","predicted (union)"
"ADAT1","predicted (intersection) + predicted (union)"
"ADAT2","predicted (intersection) + predicted (union)"
"ADCY1","predicted (intersection) + predicted (union)"
"ADCY2","predicted (union)"
"ADCY9","predicted (intersection) + predicted (union)"
"ADCYAP1","predicted (union)"
"ADCYAP1R1","predicted (union)"
"ADD2","predicted (union)"
"ADD3","predicted (union)"
"ADGRA1","predicted (union)"
"ADGRB3","predicted (union)"
"ADGRE2","predicted (union)"
"ADGRF1","predicted (intersection) + predicted (union)"
"ADGRF5","predicted (union)"
"ADGRG6","predicted (union)"
"ADGRG7","predicted (union)"
"ADGRL2","predicted (intersection) + predicted (union)"
"ADGRL3","predicted (intersection) + predicted (union)"
"ADH1B","predicted (union)"
"ADH4","predicted (union)"
"ADH5","predicted (union)"
"ADHFE1","predicted (union)"
"ADIPOR2","experimental (all) + predicted (intersection) + predicted (union)"
"ADK","predicted (intersection) + predicted (union)"
"ADM2","predicted (intersection) + predicted (union)"
"ADNP","predicted (intersection) + predicted (union)"
"ADO","predicted (union)"
"ADORA2A","predicted (union)"
"ADRA1A","predicted (intersection) + predicted (union)"
"ADRB1","experimental (strong) + experimental (all) + predicted (intersection) + predicted (union)"
"ADRB2","predicted (union)"
"ADRM1","experimental (all) + predicted (union)"
"ADSL","predicted (union)"
"ADSS","experimental (all) + predicted (intersection) + predicted (union)"
"AEBP2","predicted (intersection) + predicted (union)"
"AEN","predicted (union)"
"AFAP1L1","predicted (union)"
"AFF1","experimental (all) + predicted (intersection) + predicted (union)"
"AFF2","predicted (intersection) + predicted (union)"
"AFF3","predicted (union)"
"AFG3L2","predicted (union)"
"AFTPH","experimental (all) + predicted (intersection) + predicted (union)"
"AGAP1","predicted (intersection) + predicted (union)"
"AGAP4","predicted (union)"
"AGAP5","predicted (union)"
"AGBL5","predicted (union)"
"AGFG1","predicted (intersection) + predicted (union)"
"AGGF1","predicted (union)"
"AGL","predicted (union)"
"AGMO","predicted (union)"
"AGO1","experimental (all) + predicted (intersection) + predicted (union)"
"AGO2","predicted (intersection) + predicted (union)"
"AGO3","experimental (all) + predicted (intersection) + predicted (union)"
"AGO4","predicted (intersection) + predicted (union)"
"AGPAT3","predicted (union)"
"AGPAT4","predicted (intersection) + predicted (union)"
"AGPAT5","experimental (all) + predicted (intersection) + predicted (union)"
"AGPS","predicted (union)"
"AGR3","predicted (union)"
"AGRN","predicted (union)"
"AGTPBP1","predicted (intersection) + predicted (union)"
"AGTR2","predicted (union)"
"AGTRAP","predicted (union)"
"AHCY","predicted (union)"
"AHCYL2","predicted (union)"
"AHDC1","experimental (all)"
"AHI1","predicted (union)"
"AHR","predicted (union)"
"AHRR","predicted (union)"
"AICDA","predicted (intersection) + predicted (union)"
"AIDA","predicted (union)"
"AIF1L","predicted (union)"
"AIFM1","predicted (intersection) + predicted (union)"
"AIG1","predicted (intersection) + predicted (union)"
"AIPL1","predicted (union)"
"AJAP1","predicted (intersection) + predicted (union)"
"AK2","predicted (intersection) + predicted (union)"
"AK3","predicted (intersection) + predicted (union)"
"AK4","predicted (intersection) + predicted (union)"
"AK6","predicted (union)"
"AKAP1","predicted (intersection) + predicted (union)"
"AKAP10","predicted (union)"
"AKAP11","predicted (union)"
"AKAP17A","predicted (union)"
"AKAP2","experimental (all) + predicted (union)"
"AKAP5","predicted (union)"
"AKAP6","predicted (intersection) + predicted (union)"
"AKAP7","predicted (intersection) + predicted (union)"
"AKIRIN1","predicted (intersection) + predicted (union)"
"AKNA","predicted (union)"
"AKR7A2","predicted (intersection) + predicted (union)"
"AKT1","experimental (strong) + experimental (all)"
"AKTIP","predicted (union)"
"ALAD","predicted (union)"
"ALDH1A3","predicted (intersection) + predicted (union)"
"ALDH1L2","predicted (union)"
"ALDH3A2","predicted (union)"
"ALDH6A1","predicted (intersection) + predicted (union)"
"ALDH7A1","predicted (union)"
"ALG1","experimental (all) + predicted (intersection) + predicted (union)"
"ALG12","predicted (union)"
"ALG13","predicted (intersection) + predicted (union)"
"ALG14","predicted (intersection) + predicted (union)"
"ALG2","experimental (all) + predicted (intersection) + predicted (union)"
"ALG6","predicted (union)"
"ALKBH1","predicted (union)"
"ALOX5","experimental (strong) + experimental (all) + predicted (union)"
"ALPK2","predicted (intersection) + predicted (union)"
"ALPK3","predicted (union)"
"ALS2CL","predicted (intersection) + predicted (union)"
"ALX4","predicted (union)"
"AMACR","predicted (intersection) + predicted (union)"
"AMD1","predicted (intersection) + predicted (union)"
"AMER1","predicted (union)"
"AMER2","predicted (intersection) + predicted (union)"
"AMER3","predicted (union)"
"AMIGO1","predicted (union)"
"AMMECR1","predicted (union)"
"AMMECR1L","experimental (all) + predicted (intersection) + predicted (union)"
"AMN1","predicted (union)"
"AMOTL2","predicted (intersection) + predicted (union)"
"AMPD3","predicted (union)"
"ANAPC1","predicted (union)"
"ANAPC16","predicted (union)"
"ANG","predicted (union)"
"ANGEL1","predicted (union)"
"ANGEL2","experimental (all) + predicted (intersection) + predicted (union)"
"ANGPT1","predicted (union)"
"ANGPT2","predicted (intersection) + predicted (union)"
"ANGPT4","predicted (intersection) + predicted (union)"
"ANGPTL3","predicted (union)"
"ANK1","predicted (union)"
"ANK3","predicted (intersection) + predicted (union)"
"ANKEF1","predicted (union)"
"ANKFY1","predicted (union)"
"ANKH","predicted (intersection) + predicted (union)"
"ANKIB1","experimental (all) + predicted (intersection) + predicted (union)"
"ANKLE1","predicted (union)"
"ANKMY1","predicted (intersection) + predicted (union)"
"ANKMY2","predicted (union)"
"ANKRD10","predicted (intersection) + predicted (union)"
"ANKRD12","experimental (all) + predicted (intersection) + predicted (union)"
"ANKRD13A","predicted (union)"
"ANKRD13C","predicted (intersection) + predicted (union)"
"ANKRD16","predicted (intersection) + predicted (union)"
"ANKRD17","predicted (union)"
"ANKRD22","predicted (union)"
"ANKRD28","predicted (intersection) + predicted (union)"
"ANKRD29","predicted (intersection) + predicted (union)"
"ANKRD33B","predicted (intersection) + predicted (union)"
"ANKRD34C","predicted (intersection) + predicted (union)"
"ANKRD40","predicted (union)"
"ANKRD42","predicted (intersection) + predicted (union)"
"ANKRD44","predicted (intersection) + predicted (union)"
"ANKRD49","predicted (union)"
"ANKRD50","experimental (all) + predicted (intersection) + predicted (union)"
"ANKRD52","predicted (intersection) + predicted (union)"
"ANKRD63","predicted (union)"
"ANKRD66","predicted (intersection) + predicted (union)"
"ANKS1A","predicted (intersection) + predicted (union)"
"ANKS4B","predicted (union)"
"ANKUB1","predicted (union)"
"ANO1","predicted (intersection) + predicted (union)"
"ANO3","predicted (intersection) + predicted (union)"
"ANO5","predicted (intersection) + predicted (union)"
"ANOS1","predicted (intersection) + predicted (union)"
"ANP32B","predicted (intersection) + predicted (union)"
"ANTXR1","predicted (intersection) + predicted (union)"
"ANTXR2","predicted (intersection) + predicted (union)"
"ANXA1","predicted (union)"
"ANXA10","predicted (union)"
"ANXA11","predicted (intersection) + predicted (union)"
"ANXA4","predicted (intersection) + predicted (union)"
"ANXA5","predicted (intersection) + predicted (union)"
"ANXA7","predicted (intersection) + predicted (union)"
"AP1G1","predicted (intersection) + predicted (union)"
"AP1S1","predicted (union)"
"AP2M1","predicted (intersection) + predicted (union)"
"AP3B2","predicted (union)"
"AP3M1","predicted (union)"
"AP3S2","experimental (all) + predicted (intersection) + predicted (union)"
"AP5M1","predicted (intersection) + predicted (union)"
"APAF1","predicted (intersection) + predicted (union)"
"APBA1","predicted (union)"
"APBB2","predicted (intersection) + predicted (union)"
"APCDD1","predicted (union)"
"APEX2","predicted (union)"
"API5","predicted (intersection) + predicted (union)"
"APLF","predicted (union)"
"APLN","predicted (union)"
"APLNR","predicted (intersection) + predicted (union)"
"APMAP","predicted (union)"
"APOA1","predicted (union)"
"APOB","predicted (union)"
"APOBEC3F","predicted (union)"
"APOL6","predicted (intersection) + predicted (union)"
"APOLD1","predicted (intersection) + predicted (union)"
"APOOL","predicted (union)"
"APPL1","predicted (intersection) + predicted (union)"
"AQP2","predicted (intersection) + predicted (union)"
"AQP4","predicted (intersection) + predicted (union)"
"AQP5","predicted (intersection) + predicted (union)"
"AQR","predicted (intersection) + predicted (union)"
"AR","predicted (intersection) + predicted (union)"
"ARAP2","experimental (all) + predicted (intersection) + predicted (union)"
"ARC","experimental (all) + predicted (intersection) + predicted (union)"
"ARF1","predicted (union)"
"ARF3","predicted (intersection) + predicted (union)"
"ARF4","predicted (union)"
"ARF5","predicted (union)"
"ARF6","predicted (union)"
"ARFGAP1","predicted (intersection) + predicted (union)"
"ARFGAP3","predicted (union)"
"ARFGEF1","experimental (all) + predicted (intersection) + predicted (union)"
"ARFGEF2","predicted (intersection) + predicted (union)"
"ARFGEF3","predicted (intersection) + predicted (union)"
"ARFIP1","predicted (intersection) + predicted (union)"
"ARGLU1","predicted (intersection) + predicted (union)"
"ARHGAP1","experimental (all) + predicted (intersection) + predicted (union)"
"ARHGAP10","predicted (union)"
"ARHGAP11A","predicted (intersection) + predicted (union)"
"ARHGAP12","experimental (all) + predicted (intersection) + predicted (union)"
"ARHGAP18","predicted (intersection) + predicted (union)"
"ARHGAP19","predicted (union)"
"ARHGAP20","predicted (union)"
"ARHGAP21","predicted (intersection) + predicted (union)"
"ARHGAP24","predicted (union)"
"ARHGAP27","predicted (intersection) + predicted (union)"
"ARHGAP31","predicted (union)"
"ARHGAP40","predicted (union)"
"ARHGAP45","predicted (union)"
"ARHGAP5","predicted (intersection) + predicted (union)"
"ARHGDIG","predicted (union)"
"ARHGEF12","predicted (intersection) + predicted (union)"
"ARHGEF15","predicted (union)"
"ARHGEF18","predicted (union)"
"ARHGEF26","experimental (all) + predicted (intersection) + predicted (union)"
"ARHGEF3","predicted (union)"
"ARHGEF4","predicted (union)"
"ARHGEF5","predicted (intersection) + predicted (union)"
"ARHGEF7","predicted (intersection) + predicted (union)"
"ARID1A","predicted (union)"
"ARID2","predicted (intersection) + predicted (union)"
"ARID3B","predicted (union)"
"ARID4B","predicted (intersection) + predicted (union)"
"ARID5B","predicted (intersection) + predicted (union)"
"ARIH1","predicted (union)"
"ARIH2","experimental (all) + predicted (intersection) + predicted (union)"
