"Target","Evidence"
"A1CF","predicted (union)"
"A4GALT","predicted (union)"
"AADAC","predicted (union)"
"AAGAB","predicted (union)"
"AAK1","experimental (all) + predicted (intersection) + predicted (union)"
"AASDH","predicted (union)"
"ABAT","predicted (intersection) + predicted (union)"
"ABCA1","predicted (union)"
"ABCA10","predicted (union)"
"ABCA5","predicted (union)"
"ABCA9","predicted (intersection) + predicted (union)"
"ABCB1","predicted (intersection) + predicted (union)"
"ABCB11","predicted (intersection) + predicted (union)"
"ABCC4","experimental (all)"
"ABCC5","predicted (union)"
"ABCC9","predicted (intersection) + predicted (union)"
"ABCD2","predicted (intersection) + predicted (union)"
"ABCG2","predicted (union)"
"ABHD10","predicted (union)"
"ABHD15","predicted (union)"
"ABHD16A","experimental (all) + predicted (union)"
"ABHD17B","predicted (union)"
"ABHD18","predicted (union)"
"ABHD2","predicted (intersection) + predicted (union)"
"ABHD4","predicted (union)"
"ABHD5","predicted (union)"
"ABHD6","predicted (intersection) + predicted (union)"
"ABI1","predicted (union)"
"ABI2","experimental (all)"
"ABL2","predicted (intersection) + predicted (union)"
"ABLIM2","predicted (union)"
"ABRA","predicted (intersection) + predicted (union)"
"ABRACL","predicted (intersection) + predicted (union)"
"ABRAXAS2","predicted (union)"
"ABT1","predicted (union)"
"ABTB2","predicted (union)"
"ACADSB","predicted (intersection) + predicted (union)"
"ACAP2","predicted (union)"
"ACBD3","predicted (intersection) + predicted (union)"
"ACBD7","predicted (union)"
"ACER3","predicted (intersection) + predicted (union)"
"ACKR4","predicted (union)"
"ACOT12","predicted (intersection) + predicted (union)"
"ACOT13","predicted (intersection) + predicted (union)"
"ACOT2","predicted (union)"
"ACOT7","experimental (all)"
"ACOT9","predicted (union)"
"ACOX1","experimental (all) + predicted (intersection) + predicted (union)"
"ACP2","predicted (union)"
"ACRV1","predicted (intersection) + predicted (union)"
"ACSBG1","predicted (union)"
"ACSL3","predicted (intersection) + predicted (union)"
"ACSL6","predicted (intersection) + predicted (union)"
"ACSM2A","predicted (union)"
"ACSM2B","predicted (union)"
"ACSM5","predicted (intersection) + predicted (union)"
"ACSS3","predicted (union)"
"ACTA1","predicted (intersection) + predicted (union)"
"ACTBL2","predicted (intersection) + predicted (union)"
"ACTC1","predicted (union)"
"ACTL7A","predicted (intersection) + predicted (union)"
"ACTN2","predicted (intersection) + predicted (union)"
"ACTR10","predicted (union)"
"ACTR2","predicted (intersection) + predicted (union)"
"ACTR3","predicted (intersection) + predicted (union)"
"ACTR8","predicted (intersection) + predicted (union)"
"ACVR1","predicted (union)"
"ACVR1B","predicted (union)"
"ACVR1C","predicted (intersection) + predicted (union)"
"ACVR2A","predicted (intersection) + predicted (union)"
"ACVR2B","predicted (intersection) + predicted (union)"
"ACVRL1","predicted (union)"
"ACYP1","predicted (intersection) + predicted (union)"
"ADA2","predicted (union)"
"ADAD1","predicted (union)"
"ADAL","predicted (intersection) + predicted (union)"
"ADAM10","experimental (all) + predicted (union)"
"ADAM12","predicted (intersection) + predicted (union)"
"ADAM17","predicted (union)"
"ADAM19","predicted (union)"
"ADAM22","predicted (intersection) + predicted (union)"
"ADAM23","predicted (union)"
"ADAM7","predicted (union)"
"ADAMTS1","predicted (intersection) + predicted (union)"
"ADAMTS17","predicted (union)"
"ADAMTS18","predicted (union)"
"ADAMTS4","experimental (all) + predicted (intersection) + predicted (union)"
"ADAMTS5","predicted (intersection) + predicted (union)"
"ADAMTSL3","predicted (intersection) + predicted (union)"
"ADAP2","predicted (union)"
"ADAT1","predicted (intersection) + predicted (union)"
"ADAT2","predicted (intersection) + predicted (union)"
"ADCY1","predicted (union)"
"ADCY2","predicted (intersection) + predicted (union)"
"ADCY9","predicted (union)"
"ADCYAP1R1","predicted (intersection) + predicted (union)"
"ADD2","predicted (intersection) + predicted (union)"
"ADD3","experimental (all) + predicted (intersection) + predicted (union)"
"ADGRA3","predicted (intersection) + predicted (union)"
"ADGRE3","predicted (union)"
"ADGRF1","predicted (intersection) + predicted (union)"
"ADGRF5","predicted (union)"
"ADGRG6","predicted (intersection) + predicted (union)"
"ADGRL2","predicted (union)"
"ADGRL3","predicted (intersection) + predicted (union)"
"ADH1B","predicted (intersection) + predicted (union)"
"ADH5","experimental (all) + predicted (intersection) + predicted (union)"
"ADH6","predicted (union)"
"ADHFE1","predicted (intersection) + predicted (union)"
"ADI1","predicted (union)"
"ADNP","predicted (intersection) + predicted (union)"
"ADNP2","predicted (union)"
"ADRA1A","predicted (intersection) + predicted (union)"
"ADRB1","predicted (intersection) + predicted (union)"
"ADRB2","predicted (union)"
"ADSL","predicted (intersection) + predicted (union)"
"AFAP1L1","predicted (union)"
"AFDN","predicted (intersection) + predicted (union)"
"AFF1","predicted (intersection) + predicted (union)"
"AFF2","predicted (intersection) + predicted (union)"
"AFF3","predicted (intersection) + predicted (union)"
"AFF4","predicted (intersection) + predicted (union)"
"AFG1L","predicted (union)"
"AFG3L2","predicted (union)"
"AFMID","predicted (intersection) + predicted (union)"
"AFP","predicted (intersection) + predicted (union)"
"AGAP1","predicted (intersection) + predicted (union)"
"AGBL5","predicted (union)"
"AGFG1","predicted (intersection) + predicted (union)"
"AGFG2","predicted (intersection) + predicted (union)"
"AGGF1","predicted (union)"
"AGL","experimental (all) + predicted (intersection) + predicted (union)"
"AGMO","predicted (union)"
"AGO2","predicted (intersection) + predicted (union)"
"AGO3","predicted (intersection) + predicted (union)"
"AGO4","experimental (strong) + experimental (all) + predicted (intersection) + predicted (union)"
"AGPAT4","predicted (union)"
"AGPAT5","predicted (intersection) + predicted (union)"
"AGRN","experimental (all)"
"AGTPBP1","predicted (intersection) + predicted (union)"
"AGTR1","experimental (strong) + experimental (all)"
"AGTRAP","experimental (all) + predicted (intersection) + predicted (union)"
"AHCYL2","predicted (union)"
"AHI1","predicted (intersection) + predicted (union)"
"AHRR","predicted (intersection) + predicted (union)"
"AHSG","predicted (union)"
"AICDA","predicted (intersection) + predicted (union)"
"AIDA","predicted (union)"
"AIFM1","experimental (all)"
"AIG1","predicted (intersection) + predicted (union)"
"AIMP1","experimental (all) + predicted (intersection) + predicted (union)"
"AJAP1","predicted (union)"
"AK2","predicted (intersection) + predicted (union)"
"AK4","predicted (union)"
"AK5","predicted (union)"
"AK6","predicted (union)"
"AK9","predicted (intersection) + predicted (union)"
"AKAIN1","predicted (union)"
"AKAP10","experimental (all) + predicted (intersection) + predicted (union)"
"AKAP12","predicted (intersection) + predicted (union)"
"AKAP2","predicted (union)"
"AKAP5","predicted (intersection) + predicted (union)"
"AKAP6","predicted (intersection) + predicted (union)"
"AKAP8","predicted (intersection) + predicted (union)"
"AKAP9","predicted (union)"
"AKR1C1","predicted (intersection) + predicted (union)"
"AKR1C2","predicted (intersection) + predicted (union)"
"AKR1C3","experimental (all)"
"AKR7A2","experimental (all) + predicted (intersection) + predicted (union)"
"AKT1","experimental (all)"
"AKTIP","predicted (intersection) + predicted (union)"
"ALAD","predicted (intersection) + predicted (union)"
"ALCAM","predicted (intersection) + predicted (union)"
"ALDH1A1","predicted (union)"
"ALDH1A2","experimental (all)"
"ALDH1L2","predicted (union)"
"ALDH3A2","experimental (all) + predicted (intersection) + predicted (union)"
"ALDH5A1","experimental (all) + predicted (intersection) + predicted (union)"
"ALDH6A1","predicted (union)"
"ALDH7A1","predicted (union)"
"ALDH9A1","experimental (all) + predicted (union)"
"ALG10","predicted (union)"
"ALG10B","predicted (intersection) + predicted (union)"
"ALG13","predicted (union)"
"ALG6","predicted (intersection) + predicted (union)"
"ALKAL1","predicted (union)"
"ALKBH1","predicted (intersection) + predicted (union)"
"ALKBH5","predicted (union)"
"ALKBH8","predicted (union)"
"ALOX12-AS1","predicted (union)"
"ALPK2","predicted (union)"
"ALX1","predicted (union)"
"AMBN","predicted (intersection) + predicted (union)"
"AMBRA1","predicted (union)"
"AMD1","predicted (union)"
"AMELX","predicted (union)"
"AMER2","predicted (union)"
"AMIGO1","predicted (union)"
"AMIGO2","experimental (all)"
"AMN1","predicted (union)"
"AMOT","predicted (union)"
"AMOTL2","predicted (union)"
"AMPH","predicted (intersection) + predicted (union)"
"AMT","predicted (union)"
"AMZ1","predicted (intersection) + predicted (union)"
"ANAPC16","experimental (strong) + experimental (all) + predicted (intersection) + predicted (union)"
"ANG","predicted (intersection) + predicted (union)"
"ANGEL2","predicted (union)"
"ANGPT1","predicted (union)"
"ANGPTL1","predicted (union)"
"ANGPTL2","predicted (union)"
"ANGPTL3","predicted (intersection) + predicted (union)"
"ANKDD1B","predicted (union)"
"ANKEF1","predicted (intersection) + predicted (union)"
"ANKFY1","experimental (all) + predicted (intersection) + predicted (union)"
"ANKH","predicted (intersection) + predicted (union)"
"ANKMY1","predicted (intersection) + predicted (union)"
"ANKMY2","predicted (union)"
"ANKRD10","predicted (union)"
"ANKRD12","experimental (all) + predicted (intersection) + predicted (union)"
"ANKRD17","predicted (intersection) + predicted (union)"
"ANKRD22","predicted (union)"
"ANKRD28","predicted (intersection) + predicted (union)"
"ANKRD29","predicted (union)"
"ANKRD33B","predicted (intersection) + predicted (union)"
"ANKRD34B","predicted (union)"
"ANKRD40","predicted (intersection) + predicted (union)"
"ANKRD42","predicted (union)"
"ANKRD44","predicted (intersection) + predicted (union)"
"ANKRD45","predicted (union)"
"ANKRD49","predicted (intersection) + predicted (union)"
"ANKRD50","predicted (union)"
"ANKRD52","predicted (union)"
"ANKRD6","predicted (intersection) + predicted (union)"
"ANKS1A","predicted (union)"
"ANKS1B","predicted (union)"
"ANKS4B","predicted (union)"
"ANO5","predicted (intersection) + predicted (union)"
"ANO6","predicted (union)"
"ANOS1","predicted (union)"
"ANP32B","predicted (union)"
"ANP32E","predicted (intersection) + predicted (union)"
"ANPEP","experimental (all)"
"ANTXR1","experimental (all) + predicted (intersection) + predicted (union)"
"ANTXR2","predicted (intersection) + predicted (union)"
"ANXA1","predicted (intersection) + predicted (union)"
"ANXA2","experimental (strong) + experimental (all) + predicted (intersection) + predicted (union)"
"ANXA7","predicted (union)"
"AOC2","predicted (union)"
"AP1AR","predicted (intersection) + predicted (union)"
"AP1B1","predicted (intersection) + predicted (union)"
"AP1G1","experimental (all) + predicted (union)"
"AP1S1","predicted (union)"
"AP1S2","predicted (intersection) + predicted (union)"
"AP1S3","predicted (union)"
"AP3B1","predicted (intersection) + predicted (union)"
"AP3B2","predicted (union)"
"AP3S2","predicted (union)"
"AP4E1","predicted (intersection) + predicted (union)"
"AP5M1","predicted (intersection) + predicted (union)"
"APAF1","experimental (strong) + experimental (all) + predicted (intersection) + predicted (union)"
"APBA1","predicted (union)"
"APBB2","predicted (intersection) + predicted (union)"
"APC","experimental (strong) + experimental (all)"
"APC2","predicted (intersection) + predicted (union)"
"APCDD1","predicted (union)"
"APH1A","predicted (union)"
"APH1B","predicted (intersection) + predicted (union)"
"APIP","predicted (union)"
"APLF","predicted (intersection) + predicted (union)"
"APLN","predicted (union)"
"APLNR","predicted (union)"
"APOBEC3G","predicted (union)"
"APOL6","predicted (intersection) + predicted (union)"
"APOLD1","predicted (intersection) + predicted (union)"
"APPL1","predicted (union)"
"APTX","predicted (intersection) + predicted (union)"
"AQP1","predicted (union)"
"AQP2","predicted (union)"
"AQP4","predicted (intersection) + predicted (union)"
"AQP6","predicted (intersection) + predicted (union)"
"AQP9","predicted (union)"
"AR","predicted (intersection) + predicted (union)"
