"Target","Evidence"
"A1CF","predicted (union)"
"A2M","predicted (union)"
"AADACL4","predicted (union)"
"AADAT","predicted (union)"
"AAK1","predicted (intersection) + predicted (union)"
"AARD","predicted (union)"
"AASDHPPT","predicted (union)"
"ABAT","predicted (intersection) + predicted (union)"
"ABCA1","predicted (intersection) + predicted (union)"
"ABCA12","predicted (union)"
"ABCA5","predicted (intersection) + predicted (union)"
"ABCA8","predicted (union)"
"ABCB1","experimental (strong) + experimental (all)"
"ABCB11","predicted (intersection) + predicted (union)"
"ABCC4","predicted (union)"
"ABCC5","predicted (union)"
"ABCC9","predicted (union)"
"ABCD2","predicted (union)"
"ABCD3","experimental (all)"
"ABCF2","predicted (union)"
"ABCF3","predicted (union)"
"ABCG1","predicted (union)"
"ABCG2","predicted (union)"
"ABHD10","predicted (intersection) + predicted (union)"
"ABHD12B","predicted (intersection) + predicted (union)"
"ABHD15","predicted (union)"
"ABHD17B","predicted (union)"
"ABHD2","predicted (intersection) + predicted (union)"
"ABHD4","predicted (union)"
"ABL2","predicted (union)"
"ABLIM1","predicted (union)"
"ABLIM2","predicted (union)"
"ABR","predicted (union)"
"ABRACL","predicted (intersection) + predicted (union)"
"ABRAXAS2","predicted (union)"
"ACAD8","predicted (union)"
"ACADL","predicted (union)"
"ACAP2","predicted (union)"
"ACAT1","experimental (all)"
"ACBD5","experimental (all) + predicted (intersection) + predicted (union)"
"ACCS","predicted (union)"
"ACER1","predicted (union)"
"ACER3","predicted (union)"
"ACKR4","predicted (intersection) + predicted (union)"
"ACOT13","predicted (union)"
"ACOT2","predicted (intersection) + predicted (union)"
"ACOT4","predicted (intersection) + predicted (union)"
"ACOX1","predicted (union)"
"ACP1","predicted (intersection) + predicted (union)"
"ACP7","predicted (union)"
"ACSF2","predicted (union)"
"ACSL3","predicted (union)"
"ACSL6","predicted (union)"
"ACSM2A","predicted (intersection) + predicted (union)"
"ACSM2B","predicted (intersection) + predicted (union)"
"ACSM5","predicted (union)"
"ACSS3","predicted (union)"
"ACTA1","predicted (intersection) + predicted (union)"
"ACTA2","predicted (union)"
"ACTN4","predicted (union)"
"ACTR1A","predicted (union)"
"ACTR2","experimental (all) + predicted (union)"
"ACTR3","predicted (intersection) + predicted (union)"
"ACTR6","predicted (union)"
