"Target","Evidence"
"A1CF","predicted (intersection) + predicted (union)"
"A4GALT","experimental (all)"
"AAAS","experimental (all)"
"AAGAB","predicted (union)"
"AAK1","predicted (intersection) + predicted (union)"
"AAMP","experimental (all)"
"AARD","predicted (union)"
"AARS","experimental (all)"
"AARS2","predicted (intersection) + predicted (union)"
"AATK","predicted (intersection) + predicted (union)"
"ABAT","predicted (union)"
"ABCB1","predicted (union)"
"ABCB10","predicted (intersection) + predicted (union)"
"ABCB11","predicted (intersection) + predicted (union)"
"ABCB5","predicted (intersection) + predicted (union)"
"ABCB8","predicted (intersection) + predicted (union)"
"ABCB9","predicted (union)"
"ABCC1","predicted (intersection) + predicted (union)"
"ABCC3","predicted (union)"
"ABCC5","predicted (intersection) + predicted (union)"
"ABCD2","predicted (union)"
"ABCD4","predicted (union)"
"ABCE1","predicted (union)"
"ABCF1","predicted (intersection) + predicted (union)"
"ABCF2","experimental (all) + predicted (union)"
"ABCF3","predicted (union)"
"ABHD12B","predicted (union)"
"ABHD14A","predicted (union)"
"ABHD16B","predicted (intersection) + predicted (union)"
"ABHD17A","predicted (union)"
"ABHD17C","predicted (union)"
"ABHD18","predicted (intersection) + predicted (union)"
"ABHD2","predicted (intersection) + predicted (union)"
"ABHD5","predicted (union)"
"ABHD6","predicted (union)"
"ABI2","experimental (all)"
"ABL1","predicted (intersection) + predicted (union)"
"ABL2","predicted (intersection) + predicted (union)"
"ABLIM2","predicted (union)"
"ABLIM3","predicted (union)"
"ABR","predicted (intersection) + predicted (union)"
"ABRACL","predicted (union)"
"ABRAXAS1","predicted (intersection) + predicted (union)"
"ABRAXAS2","predicted (union)"
"ABT1","experimental (all)"
"ACACA","experimental (all)"
"ACACB","predicted (union)"
"ACADSB","predicted (union)"
"ACADVL","predicted (union)"
"ACAP3","predicted (intersection) + predicted (union)"
"ACBD6","experimental (all)"
"ACBD7","predicted (union)"
"ACE","predicted (union)"
"ACER2","predicted (union)"
"ACHE","predicted (union)"
"ACKR3","predicted (union)"
"ACO1","predicted (intersection) + predicted (union)"
"ACOT11","predicted (intersection) + predicted (union)"
"ACOT2","predicted (intersection) + predicted (union)"
"ACOT9","experimental (all)"
"ACOX1","predicted (intersection) + predicted (union)"
"ACOX3","predicted (union)"
"ACP1","predicted (union)"
"ACP7","predicted (union)"
"ACSBG1","predicted (union)"
"ACSF3","predicted (intersection) + predicted (union)"
"ACSM5","predicted (union)"
"ACSS1","predicted (union)"
"ACSS3","predicted (intersection) + predicted (union)"
"ACTC1","predicted (union)"
"ACTG1","experimental (all)"
"ACTL10","predicted (union)"
"ACTN1","experimental (all)"
"ACTN4","experimental (all) + predicted (intersection) + predicted (union)"
"ACTR1A","experimental (all) + predicted (union)"
"ACTR1B","predicted (union)"
"ACTR2","predicted (union)"
"ACTR3","predicted (union)"
"ACTR3C","predicted (union)"
"ACTR8","predicted (union)"
"ACTRT3","predicted (intersection) + predicted (union)"
"ACVR1B","predicted (union)"
"ACVR2A","predicted (union)"
"ACVR2B","predicted (intersection) + predicted (union)"
"ACVRL1","predicted (intersection) + predicted (union)"
"ADAD1","predicted (union)"
"ADAL","predicted (union)"
"ADAM11","predicted (union)"
"ADAM12","predicted (intersection) + predicted (union)"
"ADAM17","predicted (union)"
"ADAM19","predicted (union)"
"ADAM22","predicted (intersection) + predicted (union)"
"ADAM28","predicted (union)"
"ADAM33","predicted (union)"
"ADAMTS1","predicted (union)"
"ADAMTS12","predicted (union)"
"ADAMTS14","predicted (intersection) + predicted (union)"
"ADAMTS15","predicted (union)"
"ADAMTS18","predicted (intersection) + predicted (union)"
"ADAMTS19","predicted (union)"
"ADAMTS2","predicted (union)"
"ADAMTS20","predicted (union)"
"ADAMTS3","predicted (union)"
"ADAMTS4","predicted (intersection) + predicted (union)"
"ADAMTS5","predicted (union)"
"ADAMTS8","predicted (intersection) + predicted (union)"
"ADAMTSL1","predicted (union)"
"ADAMTSL3","predicted (intersection) + predicted (union)"
"ADAP2","predicted (intersection) + predicted (union)"
"ADARB1","experimental (all) + predicted (intersection) + predicted (union)"
"ADARB2","predicted (union)"
"ADCY1","predicted (intersection) + predicted (union)"
"ADCY2","predicted (union)"
"ADCY5","predicted (union)"
"ADCY9","experimental (all) + predicted (intersection) + predicted (union)"
"ADCYAP1","predicted (union)"
"ADCYAP1R1","predicted (intersection) + predicted (union)"
"ADD2","predicted (intersection) + predicted (union)"
"ADD3","predicted (union)"
"ADGRA3","predicted (union)"
"ADGRE2","predicted (union)"
"ADGRE5","predicted (intersection) + predicted (union)"
"ADGRF1","predicted (union)"
"ADGRG3","predicted (union)"
"ADGRG5","predicted (union)"
"ADGRL2","predicted (union)"
"ADH1B","predicted (union)"
"ADH5","predicted (union)"
"ADHFE1","predicted (union)"
"ADI1","experimental (all)"
"ADIPOR2","predicted (union)"
"ADM2","predicted (intersection) + predicted (union)"
"ADNP2","predicted (union)"
"ADO","predicted (intersection) + predicted (union)"
"ADPRHL2","predicted (union)"
"AEBP2","predicted (union)"
"AFAP1L1","predicted (union)"
"AFF1","predicted (union)"
"AFF2","predicted (union)"
"AFF3","predicted (union)"
"AFF4","predicted (intersection) + predicted (union)"
"AGAP1","predicted (intersection) + predicted (union)"
"AGAP2","predicted (intersection) + predicted (union)"
"AGAP2-AS1","predicted (intersection) + predicted (union)"
"AGBL5","predicted (union)"
"AGFG1","predicted (union)"
"AGFG2","predicted (intersection) + predicted (union)"
"AGK","predicted (union)"
"AGMAT","predicted (intersection) + predicted (union)"
"AGO1","experimental (all) + predicted (union)"
"AGO2","predicted (intersection) + predicted (union)"
"AGO3","predicted (intersection) + predicted (union)"
"AGO4","predicted (intersection) + predicted (union)"
"AGPAT1","experimental (all)"
"AGPAT2","predicted (union)"
"AGPAT3","predicted (intersection) + predicted (union)"
"AGPAT4","predicted (intersection) + predicted (union)"
"AGPAT5","predicted (intersection) + predicted (union)"
"AGRN","predicted (union)"
"AGT","predicted (union)"
"AGTPBP1","predicted (intersection) + predicted (union)"
"AGTRAP","predicted (intersection) + predicted (union)"
"AGXT","predicted (intersection) + predicted (union)"
"AHCY","predicted (union)"
"AHCYL1","predicted (union)"
"AHCYL2","predicted (intersection) + predicted (union)"
"AHDC1","experimental (all)"
"AHNAK","predicted (union)"
"AHRR","predicted (union)"
"AHSA1","experimental (all)"
"AHSA2P","experimental (all)"
"AIF1L","predicted (union)"
"AIFM2","predicted (intersection) + predicted (union)"
"AIMP2","experimental (all) + predicted (intersection) + predicted (union)"
"AIP","predicted (union)"
"AIPL1","predicted (union)"
"AJAP1","predicted (intersection) + predicted (union)"
"AJUBA","predicted (intersection) + predicted (union)"
"AK2","predicted (union)"
"AK3","predicted (union)"
"AK4","predicted (union)"
"AK5","predicted (union)"
"AKAIN1","predicted (union)"
"AKAP11","predicted (union)"
"AKAP13","experimental (all) + predicted (union)"
"AKAP6","predicted (intersection) + predicted (union)"
"AKNA","predicted (union)"
"AKR1B1","predicted (intersection) + predicted (union)"
"AKR1C2","experimental (strong) + experimental (all)"
"AKR1E2","predicted (union)"
"AKR7A2","predicted (intersection) + predicted (union)"
"AKT1","experimental (all)"
"AKT2","predicted (union)"
"AKTIP","predicted (union)"
"ALDH18A1","predicted (union)"
"ALDH1A2","experimental (all)"
"ALDH1B1","predicted (union)"
"ALDH1L1","predicted (union)"
"ALDH3A2","experimental (all)"
"ALDH4A1","predicted (intersection) + predicted (union)"
"ALDH5A1","predicted (intersection) + predicted (union)"
"ALDH6A1","predicted (union)"
"ALDH7A1","experimental (all)"
"ALDH8A1","predicted (union)"
"ALDH9A1","predicted (union)"
"ALG1","predicted (union)"
"ALG10B","predicted (union)"
"ALG11","predicted (union)"
"ALG13","predicted (union)"
"ALG14","predicted (intersection) + predicted (union)"
"ALG2","predicted (union)"
"ALG8","predicted (union)"
"ALG9","predicted (union)"
"ALKAL1","predicted (union)"
"ALKBH4","experimental (all)"
"ALKBH5","experimental (all) + predicted (intersection) + predicted (union)"
"ALOX5","predicted (intersection) + predicted (union)"
"ALPK2","predicted (union)"
"ALX1","predicted (union)"
"ALX4","predicted (intersection) + predicted (union)"
"AMACR","experimental (all)"
"AMBP","predicted (intersection) + predicted (union)"
"AMD1","predicted (intersection) + predicted (union)"
"AMER2","predicted (union)"
"AMER3","predicted (intersection) + predicted (union)"
"AMMECR1","predicted (union)"
"AMMECR1L","predicted (intersection) + predicted (union)"
"AMN","predicted (intersection) + predicted (union)"
"AMN1","predicted (union)"
"AMOT","predicted (union)"
"AMOTL2","predicted (union)"
"AMPD3","predicted (intersection) + predicted (union)"
"AMT","predicted (intersection) + predicted (union)"
"AMZ1","predicted (union)"
