"Target","Evidence"
"A1CF","predicted (intersection) + predicted (union)"
"A4GNT","predicted (intersection) + predicted (union)"
"AADAC","predicted (union)"
"AADAT","predicted (intersection) + predicted (union)"
"AAGAB","predicted (intersection) + predicted (union)"
"AAK1","predicted (intersection) + predicted (union)"
"AARD","predicted (union)"
"AARS","predicted (union)"
"AASDH","predicted (intersection) + predicted (union)"
"AASDHPPT","predicted (intersection) + predicted (union)"
"AATK","predicted (intersection) + predicted (union)"
"ABAT","predicted (union)"
"ABCA1","predicted (union)"
"ABCA12","predicted (union)"
"ABCA3","predicted (union)"
"ABCA5","predicted (intersection) + predicted (union)"
"ABCB11","predicted (intersection) + predicted (union)"
"ABCB5","predicted (intersection) + predicted (union)"
"ABCB8","predicted (intersection) + predicted (union)"
"ABCC10","predicted (union)"
"ABCC3","predicted (intersection) + predicted (union)"
"ABCC5","predicted (intersection) + predicted (union)"
"ABCC6","experimental (all) + predicted (intersection) + predicted (union)"
"ABCD2","predicted (union)"
"ABCF1","predicted (intersection) + predicted (union)"
"ABCF2","predicted (intersection) + predicted (union)"
"ABCF3","predicted (intersection) + predicted (union)"
"ABHD10","predicted (union)"
"ABHD13","predicted (intersection) + predicted (union)"
"ABHD15","predicted (intersection) + predicted (union)"
"ABHD16B","predicted (union)"
"ABHD17A","predicted (union)"
"ABHD2","experimental (all) + predicted (intersection) + predicted (union)"
"ABHD5","predicted (intersection) + predicted (union)"
"ABI3","predicted (intersection) + predicted (union)"
"ABL1","predicted (intersection) + predicted (union)"
"ABL2","experimental (all) + predicted (intersection) + predicted (union)"
"ABLIM1","predicted (union)"
"ABLIM2","predicted (union)"
"ABLIM3","predicted (intersection) + predicted (union)"
"ABR","predicted (union)"
"ABRA","predicted (union)"
"ABRACL","predicted (intersection) + predicted (union)"
"ABRAXAS2","predicted (union)"
"ABTB2","predicted (intersection) + predicted (union)"
"ACAA1","predicted (intersection) + predicted (union)"
"ACACB","predicted (intersection) + predicted (union)"
"ACAD8","predicted (union)"
"ACAD9","predicted (intersection) + predicted (union)"
"ACADL","predicted (intersection) + predicted (union)"
"ACADSB","predicted (union)"
"ACAN","predicted (union)"
"ACAP2","predicted (union)"
"ACBD5","predicted (union)"
"ACE","predicted (union)"
"ACER3","predicted (intersection) + predicted (union)"
"ACHE","predicted (union)"
"ACO1","predicted (union)"
"ACOD1","predicted (intersection) + predicted (union)"
"ACOT11","predicted (intersection) + predicted (union)"
"ACOT13","predicted (union)"
"ACOT2","predicted (intersection) + predicted (union)"
"ACOT9","predicted (union)"
"ACOX1","experimental (all) + predicted (intersection) + predicted (union)"
"ACOX3","predicted (intersection) + predicted (union)"
"ACOXL","predicted (union)"
"ACP2","predicted (intersection) + predicted (union)"
"ACP7","predicted (union)"
"ACPP","predicted (intersection) + predicted (union)"
"ACSBG1","predicted (intersection) + predicted (union)"
"ACSF3","predicted (intersection) + predicted (union)"
"ACSL3","predicted (intersection) + predicted (union)"
"ACSL4","predicted (intersection) + predicted (union)"
"ACSM2A","predicted (union)"
"ACSM2B","predicted (union)"
"ACTC1","predicted (union)"
"ACTG1","predicted (intersection) + predicted (union)"
"ACTN4","predicted (union)"
"ACTR10","predicted (union)"
"ACTR1A","predicted (intersection) + predicted (union)"
"ACTR2","experimental (all) + predicted (intersection) + predicted (union)"
"ACTR3B","experimental (all) + predicted (union)"
"ACTR6","predicted (union)"
"ACTR8","predicted (intersection) + predicted (union)"
"ACTRT3","predicted (intersection) + predicted (union)"
"ACVR1","predicted (union)"
"ACVR1C","predicted (union)"
"ACVR2A","experimental (all) + predicted (intersection) + predicted (union)"
"ACVR2B","predicted (intersection) + predicted (union)"
"ADA2","predicted (intersection) + predicted (union)"
