"Target","Evidence"
"A1BG","predicted (intersection) + predicted (union)"
"A1CF","predicted (intersection) + predicted (union)"
"AAGAB","predicted (union)"
"AAK1","predicted (intersection) + predicted (union)"
"AARD","predicted (intersection) + predicted (union)"
"AASDH","predicted (union)"
"ABAT","predicted (union)"
"ABCA2","predicted (union)"
"ABCA6","predicted (intersection) + predicted (union)"
"ABCA7","predicted (union)"
"ABCA8","predicted (union)"
"ABCB1","predicted (intersection) + predicted (union)"
"ABCB8","predicted (intersection) + predicted (union)"
"ABCC1","predicted (union)"
"ABCC3","predicted (union)"
"ABCC5","predicted (union)"
"ABCC6","predicted (intersection) + predicted (union)"
"ABCD3","predicted (union)"
"ABCE1","predicted (union)"
"ABCF1","predicted (intersection) + predicted (union)"
"ABCF2","predicted (intersection) + predicted (union)"
"ABCF3","predicted (intersection) + predicted (union)"
"ABHD10","predicted (intersection) + predicted (union)"
"ABHD12","predicted (union)"
"ABHD14A","predicted (intersection) + predicted (union)"
"ABHD15","predicted (union)"
"ABHD16B","predicted (union)"
"ABHD17B","predicted (intersection) + predicted (union)"
"ABHD17C","predicted (union)"
"ABHD18","predicted (union)"
"ABHD2","predicted (intersection) + predicted (union)"
"ABHD4","predicted (intersection) + predicted (union)"
"ABI3","predicted (union)"
"ABL1","predicted (intersection) + predicted (union)"
"ABL2","predicted (intersection) + predicted (union)"
"ABLIM1","predicted (union)"
"ABLIM3","predicted (union)"
"ABR","predicted (union)"
"ABRAXAS2","predicted (union)"
"ACACB","predicted (union)"
"ACAD10","predicted (intersection) + predicted (union)"
"ACAD8","predicted (intersection) + predicted (union)"
"ACADS","predicted (union)"
"ACADSB","predicted (union)"
"ACAP2","predicted (intersection) + predicted (union)"
"ACAP3","predicted (union)"
"ACBD5","predicted (union)"
"ACBD7","predicted (union)"
"ACER3","predicted (union)"
"ACHE","predicted (intersection) + predicted (union)"
"ACKR3","predicted (intersection) + predicted (union)"
"ACLY","predicted (union)"
"ACO1","predicted (intersection) + predicted (union)"
"ACOT11","predicted (union)"
"ACOT13","predicted (union)"
"ACOT2","predicted (union)"
"ACOX1","predicted (union)"
"ACOX3","predicted (intersection) + predicted (union)"
"ACOXL","predicted (union)"
"ACP1","predicted (intersection) + predicted (union)"
"ACP4","predicted (union)"
"ACSBG1","predicted (union)"
"ACSF3","predicted (intersection) + predicted (union)"
"ACSM2A","predicted (intersection) + predicted (union)"
"ACSM2B","predicted (intersection) + predicted (union)"
"ACSM6","predicted (intersection) + predicted (union)"
"ACSS1","predicted (union)"
"ACTC1","predicted (intersection) + predicted (union)"
"ACTL10","predicted (union)"
"ACTN4","predicted (union)"
"ACTR10","predicted (union)"
"ACTR1A","predicted (union)"
"ACTR2","predicted (union)"
"ACTR3","predicted (intersection) + predicted (union)"
"ACTR6","predicted (union)"
"ACTR8","predicted (union)"
"ACVR1B","predicted (intersection) + predicted (union)"
"ACVR2B","predicted (intersection) + predicted (union)"
"ADA2","predicted (intersection) + predicted (union)"
"ADAL","predicted (union)"
"ADAM10","predicted (union)"
"ADAM12","predicted (intersection) + predicted (union)"
"ADAM19","predicted (intersection) + predicted (union)"
"ADAM2","predicted (union)"
"ADAM23","predicted (union)"
"ADAM28","predicted (intersection) + predicted (union)"
"ADAMTS1","predicted (union)"
"ADAMTS12","predicted (union)"
"ADAMTS14","predicted (union)"
"ADAMTS15","predicted (union)"
"ADAMTS18","predicted (union)"
"ADAMTS19","predicted (union)"
"ADAMTS2","predicted (union)"
"ADAMTS20","predicted (union)"
"ADAMTS3","predicted (intersection) + predicted (union)"
"ADAMTS4","predicted (intersection) + predicted (union)"
"ADAMTS5","predicted (intersection) + predicted (union)"
"ADAMTS8","predicted (union)"
"ADAMTSL3","predicted (union)"
"ADAP1","predicted (union)"
"ADAP2","predicted (intersection) + predicted (union)"
"ADARB1","predicted (intersection) + predicted (union)"
"ADAT1","predicted (intersection) + predicted (union)"
"ADAT2","predicted (union)"
"ADAT3","predicted (union)"
"ADCY1","predicted (intersection) + predicted (union)"
"ADCY10","predicted (union)"
"ADCY2","predicted (union)"
"ADCY9","predicted (union)"
"ADCYAP1","predicted (union)"
"ADCYAP1R1","predicted (intersection) + predicted (union)"
"ADD2","predicted (intersection) + predicted (union)"
"ADD3","predicted (union)"
"ADGRA1","predicted (intersection) + predicted (union)"
"ADGRB3","predicted (intersection) + predicted (union)"
"ADGRD2","predicted (union)"
"ADGRE2","predicted (union)"
"ADGRE5","predicted (intersection) + predicted (union)"
"ADGRG5","predicted (intersection) + predicted (union)"
"ADGRG6","predicted (intersection) + predicted (union)"
"ADGRL1","predicted (union)"
"ADGRL3","predicted (union)"
"ADH5","predicted (union)"
"ADH6","predicted (intersection) + predicted (union)"
"ADHFE1","predicted (intersection) + predicted (union)"
"ADI1","predicted (intersection) + predicted (union)"
"ADIPOR1","predicted (union)"
